BIRMINGHAM (WALSALL ROAD),,,,,,,,,,,,
Grid ref,SP058927,Long,-1.915930,Lat,52.532137,,,,,,,
Station no,2487/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.56,2.62,,,,,,,,,,
February,2.72,0.60,,,,,,,,,,
March,4.69,2.11,,,,,,,,,,
April,2.18,2.63,,,,,,,,,,
May,3.21,2.47,,,,,,,,,,
June,1.21,1.74,,,,,,,,,,
July,0.96,1.60,,,,,,,,,,
August,4.43,3.71,,,,,,,,,,
September,2.89,1.36,,,,,,,,,,
October,0.79,4.55,,,,,,,,,,
November,6.68,2.49,,,,,,,,,,
December,2.52,3.49,,,,,,,,,,
Total,34.84,29.37,,,,,,,,,,
Calc annual,34.84,29.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
