ABINGDON-CHRISTS-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU490972,Long,-1.2928309,Lat,51.671443,Elevation,190,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,826/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.39,4.75,2.85,2.94,3.49,3.85,1.33,1.37,0.92,1.31,5.1,1.33,0.38,2.47,1.27,0.86,1.35,2.21,4,1.46,2.78,3.34,3.3
February,,,,,,,,0.62,0.81,2.27,2.31,0.69,0.81,1.03,1.57,2.13,1.92,0.72,1.08,3.85,3.85,0.53,1.35,2.02,1.19,0.34,2.53,2.58,0.09,1.43
March,,,,,,,,0.24,1.7,2.34,2.43,2.28,0.91,0.17,0.77,0.79,4.78,0.78,1.77,0.69,3.43,2.13,0.58,1.92,1.21,0.54,1.38,1.02,2.69,0.93
April,,,,,,,,0.04,3.12,1.97,1.54,1.11,0.56,1.32,1.24,1.51,2.46,1.66,1.23,2.11,2.47,1.27,2.09,0.32,0.45,1.46,0.84,0.96,2.4,0.67
May,,,,,,,,1.85,1.42,1.4,1.53,2.97,2.29,0.22,2.37,3.49,1.88,3.86,1.55,2.25,2.67,1.86,1.48,1.7,4.16,0.34,1.57,1.07,0.64,2.19
June,,,,,,,,0.62,1.36,0.7,2.52,0.19,1.99,1.54,2.68,2.56,1.16,1.69,0.66,1.34,1.17,1.32,2.74,3.66,2.44,2.41,1.91,4.02,1.24,2.84
July,,,,,,,,1.22,5.13,2.99,4.85,1.9,0.97,1.59,1.64,1.16,3.11,0.87,1.57,4.62,1.61,0.35,2.95,2.28,0.18,2.48,2.3,2.62,1.72,3.84
August,,,,,,,,2.86,1.92,0.04,3.09,3.25,2,1.47,1.22,3.68,0.7,3.98,1.3,3.08,3.85,3.66,1.6,3.23,0.5,3.93,2.36,2.93,1.9,1.86
September,,,,,,,,1.3,0.62,0.93,0.45,1.47,1.69,2.05,1.98,3.32,1.11,1.91,2.55,3.01,2.46,1.51,1.82,1.43,1.76,2.34,3.41,2.86,0.14,3.36
October,,,,,,,,2.51,4.68,2.88,1.15,4.31,2.41,3.4,2.86,0.94,0.4,2.32,5.78,0.56,0.8,3.42,2.05,1.71,1.61,1.45,1.57,2.46,1.68,5.11
November,,,,,,,,2.85,3.9,6.41,2.84,1.67,1.29,3.8,0.44,4.03,1.59,1.28,2.93,4.08,4.95,3.23,1.87,4.09,1.17,0.75,1.65,2.54,1.71,2.83
December,,,,,,,,3.51,1.49,1.38,1.28,3.46,1.06,1.35,3.52,1.99,1.63,2.44,1.11,1.31,1.58,2.39,0.6,1.97,3.02,3.36,2.13,2.55,4.5,4.36
Total,,,,,,,,20.01,30.9,26.16,26.93,26.79,19.83,19.27,21.66,26.52,22.05,26.61,22.86,27.28,31.31,22.94,19.99,25.68,19.9,23.4,23.11,28.39,22.05,32.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Albert Park in Abingdon, which has the correct relationship to the church and station and is at the right altitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ's Hospital were involved with the park. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1950 record has an NGR of SU487970, which is not a hospital; there is a hospital 200 to 300m west of this NGR but there appears to be no connection to Christ's Hospital and the altitude is 20 ft. lower.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 1km.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
