"HARGRAVE HOUSE",,,,,,,,,,,,
Grid ref,TL036702,Long,-0.481464,Lat,52.320134,,,,,,,
Station no,1100,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,1.50,,
June,,,,,,,,,,2.98,,
July,,,,,,,,,,2.65,,
August,,,,,,,,,,1.88,,
September,,,,,,,,,,2.08,,
October,,,,,,,,,,3.03,,
November,,,,,,,,,,0.58,,
December,,,,,,,,,,3.45,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
