BEATTOCK KINNELHEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,NT028017,Long,-3.532497,Lat,55.299772,Elevation,820,ft,,,,,,,,,,,,
Station no,RR4260,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.5,8.29,4.17,6.61,6.73,5.96,4.06,3.61,5.05,5.6,4.71,9.96,2.77,,
February,,,,,,3.98,4.59,6.04,4.69,3.52,7.74,8.53,5.7,5.6,10.3,8.84,5.5,1.27,,
March,,,,,,7.3,5.72,6.65,7.27,4.15,5.98,1.45,8.34,8.81,8.21,2.16,1.46,2.17,,
April,,,,,,5.19,2.32,3,2.06,5.16,5.13,6.7,0.97,7.32,4.34,3.69,5.15,2.16,,
May,,,,,,3.77,7.57,6.18,3.71,3.4,3.2,4.08,2.27,4.43,3.36,1.56,5.57,3.04,,
June,,,,,,2.34,1.72,7.07,4.49,2.64,2.49,4.1,7.12,3.57,1.21,1.17,2.66,,,
July,,,,,,2.62,3.47,4.16,3.55,5.27,6.44,2.77,4.04,0.88,3.48,4.75,5.76,,,
August,,,,,,4.94,8.7,7.02,4.94,2.25,9.56,4.24,4.87,1.87,5.24,2.76,5,,,
September,,,,,,3.14,1.51,1.3,9.57,3.1,1.46,3.3,2.28,2.59,1.96,1.82,3.52,,,
October,,,,,,4.42,7.91,7.99,2.24,13,3.93,5.59,5.27,5.27,2.28,3.14,11.14,,,
November,,,,,,5.1,4.91,4.65,5.18,2.37,3.53,6.67,8.11,8.07,7.82,3.35,6.05,,,
December,,,,,,4.15,3.81,7.59,4.99,7.61,6.89,10.43,12.55,5.33,8.66,8.95,6.02,,,
Total,,,,,,50.45,60.52,65.82,59.3,59.2,62.31,61.92,65.13,58.79,62.46,46.9,67.79,,,
