"BEATTOCK KINNELHEAD",,,,,,,,,,,,
Grid ref,NT028017,Long,-3.532497,Lat,55.299772,,,,,,,
Station no,RR4260,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.50,8.29,4.17,6.61,6.73,,
February,,,,,,3.98,4.59,6.04,4.69,3.52,,
March,,,,,,7.30,5.72,6.65,7.27,4.15,,
April,,,,,,5.19,2.32,3.00,2.06,5.16,,
May,,,,,,3.77,7.57,6.18,3.71,3.40,,
June,,,,,,2.34,1.72,7.07,4.49,2.64,,
July,,,,,,2.62,3.47,4.16,3.55,5.27,,
August,,,,,,4.94,8.70,7.02,4.94,2.25,,
September,,,,,,3.14,1.51,1.30,9.57,3.10,,
October,,,,,,4.42,7.91,7.99,2.24,13.00,,
November,,,,,,5.10,4.91,4.65,5.18,2.37,,
December,,,,,,4.15,3.81,7.59,4.99,7.61,,
Total,,,,,,50.45,60.52,65.82,59.30,59.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,50.45,60.52,65.82,59.30,59.20,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
