CRESSAGE-HARNAGE-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ569021,Long,-2.6379954,Lat,52.614952,Elevation,384,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2285/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.88,3.4,3.23,3.48,5.55,3.01,3.95,2.34,5.19,2.45,1.83,3.02,1.77,3.84,1.31,0.54,2.13,2.21,0.59,1.23,2.65,2.1,1.65,1.74,3,
February,,,,,3,2.04,3.82,0.44,1.34,2.83,2.83,0.98,1.33,1.63,1.56,2.51,0.88,1.4,0.8,4.65,2.63,0.54,1.73,1.71,2.1,0.58,2.38,3.2,,
March,,,,,0.72,1.59,2.19,0.32,1.53,1.87,2.56,1.38,1.03,0.5,1.43,0.94,4.7,1.11,1.13,0.87,4.31,1.26,1.82,1.96,3.08,0.79,1.32,1.27,1.5,
April,,,,,2.92,2.1,2,0.17,2.11,2.86,1.19,1.23,1.28,1.01,0.85,1.6,2.49,1.78,2.11,2.21,1.94,1.43,3.33,0.48,0.84,1.68,0.59,0.49,3,
May,,,,,0.78,1.27,2.04,1.88,1.22,2.48,2.59,3.67,3.13,1.11,3.2,2.37,3,1.86,1.78,1.19,3.08,2.24,2.71,2.62,4.06,0.32,0.92,1.71,3,
June,,,,0.95,2.19,3.71,0.86,2.1,1.06,2.62,1.51,1.39,1.82,1.44,2.3,2.14,1.35,2.45,0.65,0.89,0.82,2.65,1.85,3.09,3.1,1.26,1.66,4.07,1.5,
July,,,,0.56,0.91,5.28,3.39,2.18,4.76,3.3,2.21,1.61,1.97,2.05,2.49,2.51,3.97,1.29,2.62,4.27,1.89,0.76,2.31,1.86,0.4,1.57,2.18,3.42,1.14,
August,,,,2.02,1.35,0.74,0.64,3.94,1.36,0.28,3.52,2.31,1.62,3.65,3.45,5.17,0.68,3.78,1.05,4.33,3.24,2.72,1.86,3.99,2.6,5.09,4.89,2.83,0.37,
September,,,,1.39,3.52,3.56,2.17,1.47,0.64,1.38,1.04,1.48,3.29,2.63,1.75,4.6,1.56,2.27,1.55,3.36,2.02,1.64,2.27,1.85,2.16,2.85,4.36,5.46,,
October,,,,1.97,3.07,1.66,3.39,3.52,3.45,3.16,1.91,1.64,3.16,3.27,4.27,0.67,0.49,1.7,3.16,1.28,0.83,4.28,1.89,3.19,1.27,2.2,1.89,2.83,2.76,
November,,,,2.42,5.53,2.82,1.28,3.96,4.55,6.92,2.81,0.99,2.32,3.31,0.86,4.51,1.2,1.85,2.54,3.27,6.48,2.35,1.62,5.19,2.07,0.49,2.14,1.98,2.8,
December,,,,3.77,3.02,3.56,2.83,2.69,2.02,1.13,1.31,2.75,1.36,1.93,2.8,2.32,2.13,4.45,1.35,1.72,2.4,2.84,1.24,1.85,2.4,3.16,1.03,2.37,3.5,
Total,,,,,27.89,31.73,27.84,26.15,29.59,31.84,27.43,21.77,27.5,24.98,26.79,32.36,24.22,27.78,20.05,28.58,31.77,24.92,23.22,29.02,26.73,22.09,25.01,31.37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Harnage Grange. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
