TOPSHAM-EBFORD-THE-WHITE-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX981880,Long,-3.44373,Lat,50.68285,Elevation,45,ft,,,,,,,,,,,,,
Station no,1766,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.39,5.23,4.34,4.39,4.24,1.69,6.02,,,,,,,,,,
February,,,,,1.71,4.18,2.49,3.89,2.66,2.1,1.75,,,,,,,,,,
March,,,,,1.28,0.32,0.53,3.8,3.92,0,2.52,,,,,,,,,,
April,,,,,2.86,3,1.89,1.64,1.34,0.8,3.06,,,,,,,,,,
May,,,,,4.15,4.3,0.65,0.42,1.49,1.98,1.45,,,,,,,,,,
June,,,,,2.77,0,3.08,1.7,1.68,2.55,0.15,,,,,,,,,,
July,,,,,4.48,2.39,0.73,4.59,1.09,1.33,1.47,,,,,,,,,,
August,,,,,2.93,1.65,0.94,2.89,2.09,1.78,4.01,,,,,,,,,,
September,,,,,4.51,3.44,,5.02,1.45,,3.37,,,,,,,,,,
October,,,,,5.15,3.38,,1.75,4.49,,2.83,,,,,,,,,,
November,,,,,3.93,3.06,8.52,3.06,3.05,10.06,4.76,,,,,,,,,,
December,,,,,4.66,4.33,0.6,3.44,2.81,7.97,3.76,,,,,,,,,,
Total,,,,30.65,42.82,35.28,,36.59,30.31,,35.15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
There are 2 1920 sheets but they are exact copies,,,,,,,,,,,,,,,,,,,,,
1926 Sept 22 to Oct 10 interpolated from surrounding stations,,,,,,,,,,,,,,,,,,,,,
1929 Sept Estimated owing to illness of observer,,,,,,,,,,,,,,,,,,,,,
1930 Note says Owing to illness and absence on two or three occasions I can only vouch for the accuracy of the total One or two months running into each other posible,,,,,,,,,,,,,,,,,,,,,
1931 Observer unable to continue owing to ill health,,,,,,,,,,,,,,,,,,,,,
