"HALIFAX THORPE original 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE043215,Long,-1.936362,Lat,53.689933,,360,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,4.5,5.3,1.76,6.94,6.53,4.83,6.87,2.07,8.1,5.4,1.3,0.49,0.35,6.05,8.91,9.06,,,,,
February,,,,,,,,,,8.9,2.46,4.41,4.66,1.05,1.6,1.56,6.09,5.39,2,4.52,4.65,6.1,3.42,3.38,4.05,,,,,
March,,,,,,,,,,2.43,3.28,1.95,3.27,3.37,5.55,1.06,6.15,3.74,3.13,2.97,3.64,6.53,4.57,1.43,2.71,,,,,
April,,,,,,,,,,3.9,1.29,4.25,3.98,0.49,2.02,1.45,3.14,3.3,2,3.2,3.22,1.06,5.8,2.98,2.05,,,,,
May,,,,,,,,,,5.55,2.38,1.9,3,2.07,1.26,2.14,1.21,4.32,5.1,1.52,3.2,3.3,1.93,0.98,2.35,,,,,
June,,,,,,,,,,1.08,2.07,3.33,5.21,1.9,1.41,3.7,3.32,2.75,3.25,6.18,3.4,2.3,5.25,3.91,1.25,,,,,
July,,,,,,,,,,1,0.46,4.31,4.2,3.17,2.45,6.35,2.72,3.75,1.37,5.7,5.26,4.02,4.46,3.02,3.51,,,,,
August,,,,,,,,,,2.35,1.82,1.75,3.22,4.17,4.48,2.79,3.78,6.4,6.33,5.6,1.81,6,2.6,2.45,1.59,,,,,
September,,,,,,,,,,6.65,2.32,4.74,7.7,2.5,3.91,5.63,4.68,4.15,5.2,3.06,4.6,2.68,1.86,7.85,2.62,,,,,
October,,,,,,,,,,2.79,12.24,3.73,5.48,5.7,6.58,6,4.27,6.95,5.3,2.42,5.84,5.06,4.5,6.3,3.28,,,,,
November,,,,,,,,,,5.77,3.91,1.3,7.93,4.08,4.04,5.98,4.4,7.84,3.65,1.87,5.99,6.38,8.11,5.75,2.06,,,,,
December,,,,,,,,,,6.52,3.62,2.35,4.9,1.47,4.15,2.2,9.31,5.04,2.71,3.76,6.67,5.5,6.7,3.69,7.11,,,,,
Total,,,,,,,,,,51.44,41.15,35.78,60.49,36.5,42.28,45.73,51.14,61.73,45.44,42.1,48.77,49.28,55.25,50.65,41.64,,,,,
