"ST LEONARDS BRANKSOME HOUSE",,,,,,,,,,,,
Grid ref,TQ793098,Long,0.546300,Lat,50.859912,,,,,,,
Station no,539/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.55,,,,,,,1.36,1.53,,
February,,2.10,,,,,,,1.38,0.50,,
March,,1.70,,,,,,,2.37,3.50,,
April,,1.60,,,,,,,2.50,2.32,,
May,,1.10,,,,,,,0.35,1.35,,
June,,1.60,,,,,,,2.04,3.06,,
July,,2.30,,,,,,,2.87,2.60,,
August,,1.90,,,,,,,3.27,2.20,,
September,,0.90,,,,,,,2.42,4.13,,
October,,2.50,,,,,,,1.37,6.72,,
November,,0.30,,,,,,,1.10,0.99,,
December,,4.00,,,,,,,2.18,6.36,,
Total,,20.55,,,,,,,23.21,35.26,,
Calc annual,0.00,20.55,0.00,0.00,0.00,0.00,0.00,0.00,23.21,35.26,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
