"MOORFOOT HILLS ROSEBERY",,,,,,,,,,,,
Grid ref,NT309569,Long,-3.103832,Lat,55.800424,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.21,1.64,1.36,3.37,2.69,0.66,3.04,1.62,2.86,2.84,,
February,8.85,1.88,1.05,4.90,3.69,1.47,1.24,1.92,1.21,2.07,,
March,1.30,2.23,2.09,3.97,1.69,3.66,3.39,2.03,4.85,5.74,,
April,1.49,1.56,1.89,1.00,2.28,2.61,1.15,1.73,1.52,2.89,,
May,1.20,2.16,3.41,1.91,3.25,1.68,4.93,2.83,2.58,1.36,,
June,2.96,2.23,3.73,1.83,2.94,1.18,2.04,3.14,1.12,1.50,,
July,2.31,1.07,2.00,4.18,1.85,1.63,1.63,3.10,4.06,2.94,,
August,3.51,5.26,1.11,4.30,5.26,2.98,7.15,3.50,1.71,1.89,,
September,2.42,0.93,1.90,2.29,1.70,3.27,0.87,1.38,3.65,2.35,,
October,4.20,2.99,1.84,6.63,0.90,2.29,7.19,7.96,0.90,4.98,,
November,4.13,6.12,1.97,2.07,1.74,3.25,4.90,1.72,1.59,0.67,,
December,5.72,6.48,3.07,1.62,2.09,1.92,1.63,3.77,0.62,4.03,,
Total,41.30,34.55,25.42,38.07,30.08,26.60,39.16,34.70,26.67,33.26,,
Calc annual,41.30,34.55,25.42,38.07,30.08,26.60,39.16,34.70,26.67,33.26,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
