"REPTON, THE CROFT",,,,,,,,,,,,
Grid ref,SK303270,Long,-1.551624,Lat,52.839666,,,,,,,
Station no,2646,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.30,,
February,,,,,,,,,,0.71,,
March,,,,,,,,,,2.76,,
April,,,,,,,,,,1.67,,
May,,,,,,,,,,1.33,,
June,,,,,,,,,,2.40,,
July,,,,,,,,,,3.19,,
August,,,,,,,,,,2.56,,
September,,,,,,,,,,2.68,,
October,,,,,,,,,,3.84,,
November,,,,,,,,,,0.85,,
December,,,,,,,,,,4.26,,
Total,,,,,,,,,,27.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
