"NORTH HILL, BASTREET",,,,,,,,,,,,
Grid ref,SX244765,Long,-4.480665,Lat,50.561803,,,,,,,
Station no,1945/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.88,7.75,1.37,3.50,7.20,6.74,5.21,8.09,9.76,5.39,,
February,6.24,1.80,2.49,6.22,4.84,0.62,7.41,6.83,0.57,6.09,,
March,6.71,5.07,1.43,4.85,1.68,3.89,6.37,2.64,7.25,4.51,,
April,3.93,4.20,3.74,1.48,1.97,1.37,0.43,1.90,5.10,5.37,,
May,4.33,3.47,4.81,5.78,4.66,1.43,2.86,5.86,2.20,2.94,,
June,1.18,1.99,3.11,5.64,3.38,2.99,3.41,6.58,2.18,2.31,,
July,2.17,1.60,5.26,5.53,0.85,5.70,4.65,3.57,3.14,6.55,,
August,6.08,7.94,2.90,5.26,0.68,5.69,4.78,9.53,2.45,4.10,,
September,5.02,5.62,4.86,7.07,3.61,7.49,6.31,7.17,0.53,6.71,,
October,2.94,7.81,4.15,5.91,3.72,3.58,5.28,5.37,8.72,12.98,,
November,9.58,4.59,4.24,10.02,5.09,2.77,3.04,5.21,11.83,9.61,,
December,6.34,5.69,1.87,6.10,10.30,9.49,5.07,8.65,14.37,8.05,,
Total,61.40,57.53,40.23,67.36,47.98,51.76,54.82,71.40,68.10,74.61,,
Calc annual,61.40,57.53,40.23,67.36,47.98,51.76,54.82,71.40,68.10,74.61,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
