STONE-STREET,,,,,,,,,,
Grid ref,TQ572549,Long,0.252142,Lat,51.271572,Elevation,530,ft,,
Station no,381/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.5,2.87,4.88
February,,,,,,,,3.08,0.25,2.5
March,,,,,,,,1.94,2.13,1.7
April,,,,,,,,1.84,2.78,0.88
May,,,,,,,,2.14,1.32,2.26
June,,,,,,,,4.7,1.44,1.86
July,,,,,,,,2.13,2.47,4.52
August,,,,,,,,4.55,1.22,5.27
September,,,,,,,,5.38,0.12,3.15
October,,,,,,,,3.94,3.57,7.83
November,,,,,,,,2.04,3.92,5.73
December,,,,,,,,4.14,5.54,3.69
Total,,,,,,,,39.38,27.63,44.27
