SMAILHOLM SANDYKNOWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT651366,Long,-2.555731,Lat,55.621722,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.53,0.94,2.75,1.23,1.4,0.52,1.73,1.92,1.41,1.43,2.27,2.66,2.32,2.32,1.44,3.45,,,,,,,,,
February,,,,,,0.49,0.83,0.61,1.3,0.88,1.59,1.29,2,0.8,1.45,2.25,2.92,0.5,1.57,1.88,1.66,0.13,,,,,,,,,
March,,,,,,1.77,1.17,1.19,3.58,2.53,0.55,1.63,1.14,2.58,2.22,1.79,3.03,0.79,0.52,1.45,2.45,1.1,,,,,,,,,
April,,,,,,2.14,0.75,1.7,0.82,5.07,3.57,1.61,0.07,2.41,0.5,0.72,2.02,1.66,0.58,1.23,1.95,0.27,,,,,,,,,
May,,,,,,0.48,4.52,2.3,1.8,1.09,0.74,0.63,0.85,2.09,1.3,0.64,2.66,1.86,0.87,0.8,1.93,1.12,,,,,,,,,
June,,,,,,0.68,1.85,3.05,1.19,1.4,1.14,3.67,6.65,2.4,2.59,2.28,2.1,1.65,0.21,0.95,0.91,0.4,,,,,,,,,
July,,,,,,1.5,2.04,1.27,1.3,2.16,3.47,0.65,1.42,0.49,1.65,2.63,2.58,1.56,3.79,0.56,2.85,2.44,,,,,,,,,
August,,,,,,3.42,6.67,2.76,1.92,1.14,3.8,0.93,3.82,1.27,1.16,3.69,4.26,7.92,2.11,2.51,,3.96,,,,,,,,,
September,,,,,,1.19,0.6,0.53,2.6,1.4,0.78,1.23,2.17,1.86,0.89,1.54,1.7,1.09,4.06,1.22,1.82,1.15,,,,,,,,,
October,,,,,,2.25,4.17,4.19,2.21,2.5,2.18,2.4,2.25,2.32,1.07,1.07,3.34,2.24,2.24,2,,3.07,,,,,,,,,
November,,,,,,2.15,1.98,1.93,1.3,0.4,2.65,3.93,1.43,1.39,2.98,1.76,2.88,1.08,0.9,3.92,,0.57,,,,,,,,,
December,,,,,,0.58,1.22,1.55,0.59,2.06,1.68,3.09,1.86,1.83,3.97,4.12,2.63,1.24,2.45,3.55,1.58,,,,,,,,,,
Total,,,,,,,27.33,22.02,21.36,21.86,23.55,21.58,25.39,21.36,21.19,23.92,32.39,24.25,21.62,22.39,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Dec estimated so it and total removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
