FINLARIG POWER STATION,,,,,,,,,,,,
Grid ref,NN585345,Long,-4.299205,Lat,56.481285,,,,,,,
Station no,5556/4/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,6.86,3.03,4.15,8.63,4.98,,,,
February,,,,3.97,2.91,2.27,5.29,,,,,
March,,,,3.85,1.30,3.33,4.81,,,,,
April,,,,1.40,2.58,1.70,2.00,,,,,
May,,,,6.16,3.35,3.32,2.29,,,,,
June,,,,2.51,2.11,3.56,2.42,,,,,
July,,,,2.46,0.67,5.10,4.08,,,,,
August,,,,4.23,1.22,5.83,4.83,,,,,
September,,,,6.25,3.99,6.83,2.80,,,,,
October,,,,9.83,4.55,3.96,4.63,,,,,
November,,,,11.00,2.61,3.29,2.60,,,,,
December,,,,9.54,13.71,8.61,7.43,,,,,
Total,,,,68.06,42.03,51.95,51.81,,,,,
Calc annual,0.00,0.00,0.00,68.06,42.03,51.95,51.81,4.98,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
