"GLENLOCHY CROSSING",,,,,,,,,,,,
Grid ref,NN254295,Long,-4.832649,Lat,56.425313,,,,,,,
Station no,5408/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,8.37,15.30,12.50,4.75,6.39,,
February,,,,,,4.35,10.28,8.19,5.63,9.58,,
March,,,,,,6.39,9.49,4.63,9.54,3.85,,
April,,,,,,4.31,3.82,4.80,6.14,9.99,,
May,,,,,,5.30,4.40,7.27,4.13,5.79,,
June,,,,,,8.24,5.84,3.20,4.98,3.93,,
July,,,,,,8.25,7.94,4.57,9.86,9.59,,
August,,,,,,7.57,8.35,9.26,8.02,10.11,,
September,,,,,,7.12,5.46,7.38,3.35,5.21,,
October,,,,,11.90,8.65,11.23,10.13,8.62,6.93,,
November,,,,,6.49,8.23,6.44,2.47,12.76,11.50,,
December,,,,,19.08,20.05,14.50,12.45,16.42,10.92,,
Total,,,,,,96.83,103.05,86.85,94.20,93.79,,
Calc annual,0.00,0.00,0.00,0.00,37.47,96.83,103.05,86.85,94.20,93.79,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,,
