LISS-EASTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU786261,Long,-0.8798,Lat,51.02936,Elevation,500,ft,,,,,,,,,,,,,
Station no,733,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.16,4.31,5.87,2.61,5.94,1.82,5.94,2.85,4.18,,,,,,,,
February,,,,,0.58,5.53,2.5,4.75,2.61,0.91,1.27,2.08,0.29,,,,,,,,
March,,,,,1.7,0.77,0.83,4.23,3.11,0.07,1.23,0.65,1.97,,,,,,,,
April,,,,,3.57,3.07,3.39,2.24,1.91,0.78,3.08,3.75,3.46,,,,,,,,
May,,,,,4.29,4.52,2.94,1.17,2.18,2.83,2.31,2.73,3.8,,,,,,,,
June,,,,,3.89,0.02,2.69,3.48,2.92,2.09,0.71,1.91,2.47,,,,,,,,
July,,,,,4.05,3.86,1.82,3.39,1.84,1.63,2.98,3.49,4.09,,,,,,,,
August,,,,,3.19,4.4,1.03,4.38,2.93,2,5.16,4.95,1.42,,,,,,,,
September,,,,,4.97,3.69,1.1,6.57,1.33,0.49,3.39,2.09,3.83,,,,,,,,
October,,,,,4.43,4.87,2.63,2.6,7.65,4.68,2.11,0.57,6.86,,,,,,,,
November,,,,,2.97,3.43,7.77,4.04,3.98,9.33,5.99,4.58,2.18,,,,,,,,
December,,,,,5.56,3.72,0.28,5.21,3.85,9.04,3.87,0.68,1.33,,,,,,,,
Total,,,,,42.36,42.19,32.85,44.67,40.25,35.67,38.04,30.33,35.88,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Large grounds Elevation matches area around Lodge ,,,,,,,,,,,,,,,,,,,,,
1925 Feb Corrected by surrounding stations No note if it was for snow,,,,,,,,,,,,,,,,,,,,,
1934 Observer started new station at Rogate Petersfield Stn No 460/7,,,,,,,,,,,,,,,,,,,,,
