Rainfall at,MARCHMONT HOUSE,
Grid ref,NT743484,Long,-2.410761,Lat,55.728320
Station no,,
,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.86,2.00,1.26,3.55,2.53,0.62,2.31,1.30,2.53,1.74,
February,4.23,2.16,1.36,3.71,2.33,0.96,0.95,1.29,1.68,2.49,
March,1.99,1.80,1.16,2.53,2.22,2.62,2.31,1.92,5.37,5.47,
April,2.26,1.69,2.02,1.30,2.04,3.73,1.49,1.98,1.94,4.09,
May,1.36,2.95,3.44,1.67,2.83,0.77,7.14,4.18,3.08,2.22,
June,4.32,1.37,2.49,1.90,2.31,0.32,1.71,3.88,1.73,1.90,
July,3.99,1.31,2.19,4.90,2.45,2.28,2.84,2.42,2.71,2.75,
August,6.00,3.64,1.85,4.36,2.83,3.99,5.52,2.95,2.16,2.32,
September,2.03,1.36,1.43,2.84,1.07,3.05,0.50,1.00,2.86,2.89,
October,5.14,1.57,2.18,7.82,1.16,3.63,8.28,6.43,4.23,3.75,
November,4.99,3.61,1.71,1.77,1.66,4.64,3.93,2.37,1.63,0.65,
December,3.63,3.72,3.29,2.14,2.63,0.78,2.69,3.62,0.81,3.94,
Total,43.80,27.18,24.38,38.49,26.06,27.39,39.67,33.34,30.73,34.21,
Calc annual,43.80,27.18,24.38,38.49,26.06,27.39,39.67,33.34,30.73,34.21,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
