MARCHMONT HOUSE,,,,,,,,,,,,
Grid ref,NT743484,Long,-2.410761,Lat,55.728320,,,,,,,
Station no,5089,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.73,1.86,0.99,2.53,1.88,2.42,3.20,1.91,1.56,4.77,,
February,2.08,0.64,1.31,2.18,2.60,3.30,3.23,2.36,0.55,2.31,,
March,3.13,1.58,0.37,1.99,1.62,0.79,1.84,2.79,0.75,1.88,,
April,2.77,1.65,2.82,0.70,0.64,0.72,0.83,2.33,1.95,1.32,,
May,2.99,2.02,2.39,4.87,1.92,0.65,1.41,2.73,0.43,1.35,,
June,1.01,2.65,2.57,2.48,1.34,2.59,1.27,3.94,2.62,1.08,,
July,2.57,1.42,3.40,2.36,2.42,3.54,3.79,4.41,2.16,3.41,,
August,3.70,3.54,2.27,6.13,0.57,10.86,4.99,4.05,0.42,3.44,,
September,1.49,2.43,2.46,3.39,1.72,3.42,2.55,2.26,0.57,1.77,,
October,0.46,3.47,1.46,5.24,2.15,1.98,2.02,1.48,2.51,7.86,,
November,5.47,3.41,2.32,2.55,1.63,0.89,1.67,1.12,4.90,2.40,,
December,1.22,4.28,2.45,2.39,3.95,2.37,2.16,4.75,3.25,2.18,,
Total,30.62,28.95,24.81,36.81,22.44,33.53,28.96,34.13,21.67,33.77,,
Calc annual,30.62,28.95,24.81,36.81,22.44,33.53,28.96,34.13,21.67,33.77,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
