Rainfall at,MARCHMONT HOUSE
,
Station no,5089,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.57,5.97,2.93,1.67,2.49,1.88,3.16,2.40,4.64,2.17,2.12,
February,2.26,0.60,2.96,4.23,1.36,5.28,4.62,1.03,2.56,1.84,1.57,
March,3.71,2.35,2.19,1.03,0.90,3.04,1.58,2.67,4.12,0.17,2.35,
April,2.22,0.68,2.32,1.63,1.24,3.39,3.30,1.82,1.45,1.54,2.18,
May,3.14,2.02,0.67,2.16,5.44,4.05,1.95,2.78,1.13,1.71,0.95,
June,0.72,0.72,1.57,1.10,2.38,0.28,3.83,3.74,5.39,2.12,1.64,
July,4.07,2.97,5.40,1.80,5.76,2.01,3.50,3.40,1.58,3.88,3.59,
August,3.56,4.47,2.73,4.54,3.61,3.22,3.04,7.94,4.40,4.64,4.70,
September,1.81,1.39,3.41,1.71,3.73,4.69,4.55,6.04,1.51,0.21,4.49,
October,2.27,3.30,3.44,3.54,3.38,2.17,4.54,2.71,3.86,2.90,3.85,
November,1.88,2.19,0.92,3.58,1.57,2.16,3.94,3.31,3.42,3.61,4.38,
December,4.48,2.62,2.74,3.13,3.58,3.99,0.61,2.72,1.99,3.34,2.69,
Total,32.69,29.28,31.28,30.12,35.44,36.16,38.62,40.56,36.05,28.13,34.51,
Calc annual,32.69,29.28,31.28,30.12,35.44,36.16,38.62,40.56,36.05,28.13,34.51,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
