"TREHERBERT PARK",,,,,,,,,,,,
Grid ref,SS939986,Long,-3.535855,Lat,51.676114,,,,,,,
Station no,4079/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.35,11.25,2.95,5.80,8.24,12.68,15.37,10.44,11.92,10.84,,
February,10.62,2.24,4.72,10.84,4.47,0.88,11.25,11.93,0.73,10.46,,
March,9.57,7.34,6.77,9.15,4.91,4.76,13.00,2.05,9.46,4.00,,
April,8.23,6.83,6.10,2.95,5.34,2.50,0.65,2.29,8.04,6.21,,
May,4.11,5.49,5.95,6.32,8.75,2.71,4.43,8.12,3.86,2.59,,
June,3.17,4.67,5.07,9.82,10.03,5.31,1.67,6.33,3.97,5.42,,
July,2.56,4.40,12.61,7.92,2.59,8.17,10.01,8.22,7.71,9.60,,
August,13.05,10.74,9.03,9.45,1.97,10.09,7.21,8.85,2.01,9.00,,
September,9.05,4.11,9.38,13.79,3.49,10.28,15.55,15.28,0.62,7.50,,
October,1.87,9.63,6.11,19.23,6.40,3.20,10.86,11.74,10.04,10.74,,
November,16.17,6.15,9.94,18.00,8.43,3.11,3.69,4.40,13.46,21.52,,
December,11.42,7.80,2.85,9.71,14.98,12.62,8.06,8.83,20.32,12.41,,
Total,103.17,80.65,81.48,122.98,79.60,76.31,101.75,98.48,92.14,110.29,,
Calc annual,103.17,80.65,81.48,122.98,79.60,76.31,101.75,98.48,92.14,110.29,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
