"SOUTHEND WATER WORKS",,,,,,,,,,,,
Grid ref,TQ874865,Long,0.701283,Lat,51.546271,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,0.63,0.54,1.85,2.22,0.85,3.09,1.15,1.00,0.89,,
February,3.54,0.72,1.72,1.12,1.90,0.56,1.42,1.20,1.43,1.03,,
March,0.88,1.82,1.20,1.36,1.36,2.15,1.11,0.81,1.86,2.34,,
April,0.64,1.42,0.27,1.74,0.58,2.48,0.73,2.23,2.40,1.49,,
May,0.84,0.68,2.72,2.22,1.65,0.80,1.87,2.14,1.48,1.10,,
June,2.68,0.62,2.66,5.87,1.12,3.57,2.12,1.80,1.21,3.36,,
July,1.46,1.52,1.12,4.86,2.74,0.29,0.77,1.02,3.44,3.27,,
August,1.89,1.38,2.58,2.60,1.80,1.73,0.40,1.64,2.41,2.43,,
September,0.82,1.20,1.30,1.52,0.98,1.62,1.69,0.34,1.27,1.98,,
October,1.44,1.53,1.72,4.55,2.04,1.00,3.82,3.05,1.57,4.56,,
November,2.02,0.55,1.53,2.85,0.92,2.27,4.37,2.16,1.22,1.46,,
December,1.50,2.76,1.15,1.12,1.45,0.57,1.82,2.44,2.14,2.89,,
Total,20.51,14.83,18.51,31.66,18.76,17.89,23.21,19.98,21.43,26.80,,
Calc annual,20.51,14.83,18.51,31.66,18.76,17.89,23.21,19.98,21.43,26.80,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
