"SOUTHEND (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ874853,Long,0.700644,Lat,51.535493,,,,,,,
Station no,1254/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.51,1.36,0.75,1.00,2.47,3.58,0.94,2.03,1.50,1.99,,
February,4.41,0.85,1.18,1.71,1.29,0.41,1.95,1.89,0.08,1.37,,
March,1.99,2.75,0.28,1.93,1.03,0.60,0.88,0.90,1.08,1.35,,
April,2.03,0.51,1.55,0.30,0.19,1.39,0.12,1.41,1.75,0.44,,
May,2.18,1.19,1.21,1.75,4.21,0.37,1.19,1.75,0.97,2.49,,
June,1.21,1.48,1.57,2.58,1.84,1.71,1.11,5.07,1.15,1.66,,
July,2.22,0.68,2.45,2.42,0.59,3.02,2.24,2.38,1.26,2.41,,
August,2.30,2.03,1.40,2.76,1.70,3.16,2.00,3.71,0.93,3.12,,
September,3.58,4.15,1.97,0.94,2.74,1.73,2.62,3.48,0.13,3.16,,
October,0.83,1.45,2.00,1.44,4.10,1.21,1.43,2.60,1.99,5.59,,
November,2.61,4.42,1.02,3.05,0.56,0.42,2.39,1.24,2.51,3.10,,
December,1.07,1.74,0.59,0.85,1.43,1.81,1.70,2.86,2.61,2.24,,
Total,25.94,22.61,15.97,20.73,22.15,19.41,18.57,29.32,15.96,28.92,,
Calc annual,25.94,22.61,15.97,20.73,22.15,19.41,18.57,29.32,15.96,28.92,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
