BURGH CASTLE RECTORY,,,,,,,,,,,,
Grid ref,TG475049,Long,1.652173,Lat,52.585517,,,,,,,
Station no,RR6793,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.30,0.48,0.95,1.44,1.83,0.65,3.84,,,,,
February,2.91,1.38,0.54,0.24,2.37,1.20,2.21,,,,,
March,0.94,1.68,1.29,1.61,1.37,1.81,1.72,,,,,
April,0.91,2.01,1.02,2.16,0.85,1.68,0.54,,,,,
May,1.53,0.80,2.86,1.79,1.76,1.15,2.47,,,,,
June,2.17,2.01,2.11,1.98,0.43,1.91,2.17,,,,,
July,1.40,0.97,2.09,3.54,2.02,0.56,0.24,,,,,
August,3.96,0.77,4.89,3.58,2.36,3.62,1.72,,,,,
September,0.80,0.94,1.22,2.63,1.26,1.60,0.89,,,,,
October,1.84,1.79,1.23,3.77,0.94,3.19,3.09,,,,,
November,1.66,2.10,1.35,1.29,1.44,1.99,4.08,,,,,
December,2.34,4.11,1.42,1.05,2.22,1.04,2.92,,,,,
Total,22.76,19.04,20.97,25.08,18.85,20.40,25.89,,,,,
Calc annual,22.76,19.04,20.97,25.08,18.85,20.40,25.89,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
