CORNHILL (PALLINSBURN),,,,,,,,,,,,,,,,,,,,
Grid ref,NT911383,Long,-2.142942,Lat,55.638174,Elevation,135,ft,,,,,,,,,,,,
Station no,3600/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.88,5.48,1.14,0.82,2.44,0.82,0.83,2.19,2.04,2.8,2.18,1.23,1.66,3.61
February,,,,,,,2.69,1.05,0.62,3.22,1.95,0.58,1.04,1.72,2.04,2.27,3.23,3.11,0.35,1.52
March,,,,,,,3.87,0.09,1.15,0.62,3.19,0.8,0.14,1.1,1.06,0.55,1.16,3.09,0.46,0.64
April,,,,,,,2.84,2.28,0.81,1.98,2.32,1.19,2.45,0.47,0.59,0.62,0.36,3.26,1.4,0.58
May,,,,,,,2.89,1.75,0.77,1.38,2.98,2.53,2.14,3.87,1.49,0.44,1.08,2.17,0.2,1.38
June,,,,,,,2.76,3.56,1.52,1.55,1.21,1.16,1.81,1.36,1.3,2.34,0.62,3.41,2.18,1.19
July,,,,,,,3.26,0.96,2.27,1.78,1.81,0.94,3.46,2.02,1.91,3.23,2.75,3.85,1.4,3.26
August,,,,,,,0.13,8.98,1.63,3.18,2.74,1.96,1.96,5.42,0.6,8.02,4.13,3.25,0.32,3.65
September,,,,,,,0.83,1.99,1.43,3.42,0.39,2.41,1.88,2.04,1.19,3.05,2.48,2.21,0.61,2.03
October,,,,,,,0.52,1.33,5.62,1.2,0.52,2.6,1.58,3.4,1.75,1.23,1.33,1.24,1.62,6.1
November,,,,,,,2.77,1.83,2.23,4.44,5.23,5.09,1.23,3.08,1.01,0.61,1.13,0.75,4.35,1.8
December,,,,,,,2,1.34,1.74,1.68,0.76,3.96,1.1,2.1,4.14,2.06,2.54,3.59,2.49,1.75
Total,,,,,,,26.44,30.64,20.93,25.27,25.54,24.04,19.62,28.77,19.12,27.22,22.99,31.16,17.04,27.51
,,,,,,,,,,,,,,,,,,,,
16050,PALLINSBURN ,1947-2007,,,,,,,,,,,,,,,,,,
