OSWESTRY MOUNT RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ275304,Long,-3.078412,Lat,52.866176,Elevation,698,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.87,0.95,5.5,4.59,2.63,3.25,5.18,4.28,0.83,5.74,1.57,2.05,2.16,2.87,0.83,4.49,4.51,2.11,3.96,1.6,1.64,3.19,2.93,3.04,3.53,4.6,1.8,3.03,3.71,4.68,3.46,6.77,1.52,5.87,2.21,4.12,2.28,3.12,1.38,5.59,3.33,4.77,7.91,3.64,5.77,4.46,5.56,2.98,2.87,3.89,2.36,8.4,2.22,1.26,2.94,3.89,0.93,3.02,3.54,5.32,2.51,3.55,5.77,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,3.15,1.85,3,4.7,0.92,1.6,3.34,4.57,1.31,3.71,1.87,2.07,1.25,3.53,2.06,2.17,2.02,3.5,5.22,3.28,1.34,2.32,3.07,2.1,0.33,3.9,5.8,0.54,5.43,2.15,2.33,3.74,1.02,1.27,3.23,0.14,3.63,0.26,3.95,2.61,5.53,1,2.51,3.09,3.35,1.35,1.73,1.48,2.95,3.13,3.27,2.56,1.89,6.99,3.41,0.46,1.95,3.65,3.04,0.47,3.43,5.24,0.36,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.8,0.86,1.45,1.18,3.62,1.99,7.28,2.04,4.88,1.8,1.54,3.95,3.19,1.44,1.29,3.91,4.73,3.31,1.06,3.34,3.13,1.14,5.24,3.84,1.47,2.7,1.76,1.61,1.36,0.46,3.59,2.92,0.33,3.61,0.8,2.9,2.34,2.57,1.09,2.75,2.76,0.49,3.26,3.17,3.46,2.95,1.12,0.85,1.17,1.74,8,1.43,1.69,2.02,4.82,1.5,1.44,3.05,3.13,1.53,2.43,1.39,2.26,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.03,2,3.09,1.83,3.11,2.27,1.19,1.51,1.82,0.91,2.02,3.7,2.82,2.51,0.8,0.33,5.18,1.15,1.49,1.58,1.71,1.75,2.19,5,1.14,2.7,3.05,3.11,2.12,1.96,3.25,1.47,0.9,4.19,3.91,5.26,0.88,3.25,3.09,2.59,2.75,0.15,2.78,3.26,1.38,2.47,1.36,1.33,1.82,0.99,3.43,1.5,3.64,3.29,2.32,2.08,3.46,0.45,1.26,1.98,0.18,0.53,4.11,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.91,3.76,3.16,1.96,1.37,3.69,5.76,2.46,1.67,2.68,2.88,3.34,1.51,1.96,0.99,2.75,2.79,2.03,2.86,3.26,3.79,2.47,1.78,3.63,1.62,0.8,3.9,4.86,3.36,3.45,1.7,1.63,2.17,2.16,5.7,4.04,1.67,1.77,1.34,1.83,1.76,3.45,1.74,2.45,2.73,3.97,4.13,3.11,3.65,2.62,2.74,1.89,3.08,0.96,3.24,2.98,2.38,3.39,5.8,0.58,2.11,3.44,3.09,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,3.95,1.98,2.74,2.72,2.02,3.63,1.45,1.53,1.99,1.33,4.43,3.03,4.34,2.84,2.38,3.92,1.89,4.06,1,1.78,3.05,1.01,0.93,3.52,0.26,1.3,1.04,1.85,0.06,1.51,4.95,4.83,2.43,1.33,4.02,0.82,2.52,1.39,3.38,3.93,1.2,2.99,2.67,1.41,2.38,0.3,2.19,1.71,3.55,3.8,1.57,4.47,0.83,1.12,1.3,1.58,2.02,4.12,3.87,1.84,1.1,3.41,2.81,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.74,0.98,2.91,1.79,4.04,2.24,3.42,1.99,2.19,0.54,2.72,4.7,2.1,2.65,0.78,3.35,1.09,4.11,4.14,1.59,2.01,4.66,1.23,4.89,1.25,3.8,2.48,6.19,2.56,3.54,3.13,1.78,2.38,3.31,2.14,6.37,1.88,0.55,0.9,4.27,1.89,3.74,7.61,2.98,1.8,2.52,2.61,1.92,2.06,1.63,3.84,2.74,3.3,2.83,1.9,2.58,3.06,2.13,0.54,4.03,6.7,5.5,3.38,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.2,4.8,0.98,6.35,2.39,4.2,6.35,5.21,4.62,3.63,2.62,4.25,2.52,4.21,3.37,5.42,1.87,2.13,3.46,1.7,5.81,1.55,2.74,1.45,3.31,2.8,3.63,3.29,3.67,3.35,5.61,4.25,2.45,4.5,6.84,1.58,0.91,3.08,1.15,1.15,1.58,4.75,1.82,0.34,4.51,4.02,2.55,2.16,3.49,5.64,0.54,4.12,1.59,5.73,5.83,2.46,3.24,4.17,1.09,5.04,5.75,3.69,1.65,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.14,1.02,3.17,0.93,1.5,2.58,7.47,1.49,1.94,0.75,0.97,3.98,2.82,0.34,2.85,0.77,1.61,1.42,0.56,1.94,1.12,6.63,1.61,2.1,0.71,2.2,2.28,3.92,2.77,2.42,3.8,1.91,1.82,5.27,3.74,2.92,0.92,2.4,5.49,3.72,1.41,1.34,1.36,2.1,0.59,2.29,3.94,3.86,1.73,4.08,1.83,1.85,1.05,5.4,3.06,2.42,3.74,3.94,1.16,3.74,7.54,5.72,0.37,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.4,6.94,4.31,4.74,3.93,4.74,9.98,1.16,2.23,7.36,6.83,3.62,5.15,3.76,3.91,3.75,5.14,2.05,2.98,5.37,4.29,2,2.62,3.33,3.48,0.9,5.81,5.07,4.8,3.44,4.21,5.42,4.65,4.7,0.95,5.99,4.53,3.44,6.03,1.74,3.7,5.63,3.43,5.35,2.85,1.5,3.68,5.17,5.28,1.69,0.58,1.82,5.24,2.56,1.51,8.26,1.58,7.22,1.82,1.62,2.4,2.91,2.93,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
