FULFORD MANOR,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2363/4,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,2.73,1.80,6.50,1.83,1.48,,
February,,,,,,5.28,2.00,1.42,0.85,4.67,,
March,,,,,,0.90,4.57,1.04,2.04,1.30,,
April,,,,,,0.91,2.15,2.60,3.13,3.38,,
May,,,,,,1.59,2.02,1.42,2.42,0.83,,
June,,,,,,2.93,2.28,4.62,0.70,1.48,,
July,,,,,,2.72,3.68,2.41,1.53,2.80,,
August,,,,,,6.72,0.76,5.10,2.84,4.75,,
September,,,,,,4.70,1.63,3.15,0.73,4.34,,
October,,,,,,0.80,0.50,2.58,4.17,1.11,,
November,,,,,,5.17,3.17,1.80,4.33,4.39,,
December,,,,,,3.22,2.79,3.73,3.20,2.25,,
Total,,,,,,37.67,27.35,36.37,27.77,32.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,37.67,27.35,36.37,27.77,32.78,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
