LOCH MORAR MEOBLE LODGE,,,,,,,,,,,,
Grid ref,NM795877,Long,-5.625251,Lat,56.927929,,,,,,,
Station no,RR8212,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,11.07,14.50,15.00,9.40,11.50,,
February,,,,,,12.00,9.81,11.02,10.02,9.00,,
March,,,,,,11.11,6.69,10.48,8.35,1.10,,
April,,,,,,5.24,6.00,6.50,3.00,4.45,,
May,,,,,,5.53,5.80,2.50,5.61,5.55,,
June,,,,,,4.07,2.15,8.00,6.88,1.30,,
July,,,,,4.09,6.92,10.90,6.00,6.73,11.30,,
August,,,,,8.03,8.62,8.00,8.00,8.50,9.20,,
September,,,,,9.31,11.09,8.96,7.00,14.50,5.00,,
October,,,,,9.05,8.26,9.50,7.90,2.20,12.80,,
November,,,,,10.24,6.58,11.14,7.10,9.67,9.30,,
December,,,,,11.06,10.67,15.00,2.80,10.45,12.20,,
Total,,,,,,101.16,108.45,92.30,95.31,92.70,,
Calc annual,0.00,0.00,0.00,0.00,51.78,101.16,108.45,92.30,95.31,92.70,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,,
