LOCH MORAR MEOBLE LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NM795877,Long,-5.625251,Lat,56.927929,Elevation,104,ft,,,,,,,,,,,,
Station no,RR8212,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,11.07,14.5,15,9.4,11.5,10.4,11.49,9.46,11.45,8.95,16.71,,,,
February,,,,,,12,9.81,11.02,10.02,9,9,14.45,8.75,4.65,10.81,9.16,,,,
March,,,,,,11.11,6.69,10.48,8.35,1.1,8.5,5,11.04,11.57,6.1,11.02,,,,
April,,,,,,5.24,6,6.5,3,4.45,7.5,8.75,11.9,7.18,11.79,9.7,,,,
May,,,,,,5.53,5.8,2.5,5.61,5.55,6.73,6.59,5.22,9.71,5.89,1.54,,,,
June,,,,,,4.07,2.15,8,6.88,1.3,2.28,6.1,6.09,8.48,4.07,1.25,,,,
July,,,,,4.09,6.92,10.9,6,6.73,11.3,5.21,8.56,4.89,1.57,3.5,8.97,,,,
August,,,,,8.03,8.62,8,8,8.5,9.2,9.93,8.15,6.49,4.53,9.63,5.94,,,,
September,,,,,9.31,11.09,8.96,7,14.5,5,5.2,9.7,5.46,3.77,7.57,2.54,,,,
October,,,,,9.05,8.26,9.5,7.9,2.2,12.8,8.39,4.22,10.08,12.65,4.7,4.02,,,,
November,,,,,10.24,6.58,11.14,7.1,9.67,9.3,6.16,10.49,16,23.49,15.75,5.02,,,,
December,,,,,11.06,10.67,15,2.8,10.45,12.2,12.16,17.9,20.75,13.9,10.36,7.7,,,,
Total,,,,,,101.16,108.45,92.3,95.31,92.7,91.46,111.4,116.13,112.95,99.12,83.57,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8212,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
June 1912 edited to 6.09 to ensure total matches,,,,,,,,,,,,,,,,,,,,
