BURY-ST-EDMUNDS-BARTON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL887670,Long,0.7640614,Lat,52.268771,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.32,2.27,1.98,2.01,0.76,2.89,2.27,2.69,2.3,1.92,0.86,1.04,2.69,2.06,1,1.98,1.74,2.9,1.77,1.62,0.16,0.88,1.5,1.52,1.8,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,1.06,2.33,0.34,0.46,1.49,2.05,3.32,1.56,1.51,2.48,0.72,1.81,0.91,1.84,0.9,1.12,3.18,2.85,1.36,3.41,1.79,2.65,1.57,3.13,0.61,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.06,2.46,1.6,2.43,0.76,2.56,1.9,1.71,1.6,1.65,1.65,1.64,1.22,2.39,1.75,1.03,0.41,2.12,2.52,1.11,0.99,1.08,1.49,1.77,1.89,1.04,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.49,0.91,0.84,1.66,0.8,0.52,0.42,2.11,2.72,1.51,1.38,0.8,3.38,1.89,1.1,0.76,1.15,2.09,2.47,1.5,3.36,2.17,1.31,3.11,1.2,1.09,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.01,3.61,0.35,2.14,1.09,2.19,2.39,2.05,2.74,0.6,2.97,0.56,1.08,2.44,2.19,0.84,2.42,0.84,1.57,4.72,2.72,0.57,0.99,1.72,1.27,0.84,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.98,4.73,2.3,2.95,1.91,1.13,1.34,3.31,0.69,1.16,1.63,0.82,2.6,2.24,2.61,1.71,2.98,2.61,1.68,1.28,4.06,3.24,1.28,2.81,2.91,1.06,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.93,1.9,2.4,1.88,0.94,0.59,4.48,2.45,5.42,0.24,0.58,1.79,2.87,6.23,2.51,1.3,5.32,1.32,3.35,0.82,4.76,5.11,2.62,2.4,3.55,2.51,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.68,6.24,0.62,2.87,1.55,0.63,1.52,2.05,1.23,1.92,1.91,1.53,0.36,2.27,1.58,1.35,0.53,1.93,3.49,3.62,2.89,1.37,4.57,2.3,1.3,1.38,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.93,2.2,0.87,1.59,2.64,1.57,0.09,2.92,2.57,1.63,3.69,1.58,4.44,1.79,2.59,3.1,2.52,4.82,2.02,0.99,3.65,3.82,3.19,2.37,3.81,2.87,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.31,1.3,1.88,3.05,2.78,1.14,6.38,0.39,2.31,2.36,2.59,2.8,1.09,3.71,2.6,1.82,3.28,0.87,1.29,2.33,1.05,4.02,2.77,4.87,3.04,2.11,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
