LOWTON (NEWTON ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,SJ616964,Long,-2.5798505,Lat,53.462935,Elevation,121,ft,,,,,,,,,,,,
Station no,2823/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.84,3.25,3.96,5.46,2.54,,2.42,4.71,5.28,2.16,4.43,2.78,7.69,,
February,,,,,,2.18,5.71,1.34,3.44,2.54,3.04,2.01,2.13,1.14,3.24,5.58,0.7,2.27,,
March,,,,,,1.74,1.75,1.25,2.2,3.27,2.5,4.25,0.83,0.86,1.08,0.83,5.15,1.09,,
April,,,,,,1.12,3.21,0.5,2.59,2.16,,1.5,1.35,2.55,2.58,1.15,1.77,1.23,,
May,,,,,,0.56,2.19,3.58,1.21,1.77,2.1,3.22,2.69,1.99,3.73,1.44,2.2,1.9,,
June,,,,,,2.98,1.33,3.56,3.68,1.09,0.27,0.39,2.9,1.95,3.92,3.55,2.3,4.26,,
July,,,,,,3.72,1.83,3.82,5.72,4.06,1.83,4.06,2.4,3.44,2.13,3.58,2.39,1.99,,
August,,,,,,2.07,3.78,3.78,2.22,1.48,5.91,3.25,4.97,3.22,2.55,5.33,0.23,5.31,,
September,,,,,,5.2,1.13,1.63,1.14,3.43,0.61,2.03,4.87,5.62,2.5,6.04,2.57,1.89,,
October,,,,,,3.77,2.06,7.4,2.1,3.7,4.6,5.38,3.02,4.14,5.77,0.69,0.67,2.31,,
November,,,,,,4.39,1.9,4.95,5.3,7.91,2.43,1.2,3.09,6.92,0.66,5.35,4.37,2.16,,
December,,,,,,3.36,2.38,4.47,3.62,3.98,1,4.72,1.85,3.52,2.51,3.25,2.82,2.93,,
Total,,,,,,35.93,30.52,40.24,38.68,37.93,,34.43,34.81,40.63,32.83,41.22,27.95,35.03,,
,,,,,,,,,,,,,,,,,,,,
"1941 Jan, Apr Total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
NGR dist/direction St Lukes on 1930s TYR,,,,,,,,,,,,,,,,,,,,
1940s TYR notes 'position doubtful from these directions',,,,,,,,,,,,,,,,,,,,
