SAXILBY,,,,,,,,,,,
Grid ref,SK895752,Long,-0.660,Lat,53.266,Elevation,25,ft,,,
Station no,2557/4,,,,,,,,,,
,,,,,,,,,,,
,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
January,1.09,0.94,1.78,1.69,0.82,0.95,1.63,4.05,1.00,2.21,2.56
February,0.49,3.99,2.98,0.40,1.53,2.51,2.75,1.28,1.94,3.28,0.32
March,1.24,0.87,3.13,2.46,0.74,1.81,2.48,0.74,0.96,1.79,1.85
April,1.69,3.21,1.03,1.19,2.10,0.18,1.05,1.28,0.09,0.55,1.76
May,1.65,1.90,3.02,1.44,2.00,3.07,3.14,0.76,1.50,1.86,0.51
June,1.12,1.63,1.06,1.98,1.99,2.78,3.14,4.07,1.88,5.60,0.80
July,3.76,2.10,1.09,0.46,2.06,2.19,0.45,2.93,3.14,4.42,1.58
August,1.81,2.10,5.87,1.91,1.77,3.28,0.18,5.32,2.89,2.84,0.68
September,1.31,3.30,1.16,1.82,0.96,2.20,0.76,1.44,3.76,1.35,0.04
October,3.35,0.60,1.59,2.37,2.10,3.30,1.19,1.11,1.15,1.60,2.02
November,2.66,4.41,4.78,1.92,1.38,4.32,1.19,0.86,2.34,0.88,1.90
December,1.62,1.22,1.26,1.46,0.93,2.49,1.50,1.45,1.46,2.89,3.18
Total,21.79,26.27,28.75,19.10,18.38,29.08,19.46,25.29,22.11,29.27,17.20
,,,,,,,,,,,
TYRain_1941-1950_17_pt1/228,,,,,,,,,,,
TYRain_1951-1960_15_pt1/230,,,,,,,,,,,
,,,,,,,,,,,
# Readings for February and April 1957 are part estimated and have been retained.,,,,,,,,,,,
