"EDENBRIDGE (FALCONHURST)",,,,,,,,,,,,
Grid ref,TQ470427,Long,0.101033,Lat,51.164665,,,,,,,
Station no,338,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,2.88,1.27,1.69,4.02,5.08,2.43,3.87,2.93,3.79,,
February,7.20,1.06,1.35,2.08,2.15,0.68,5.14,2.85,0.06,2.87,,
March,3.97,3.32,0.31,3.20,1.50,1.07,1.22,1.49,2.40,2.22,,
April,2.45,1.97,2.67,0.52,0.23,1.40,0.20,1.29,2.45,0.59,,
May,2.11,1.26,1.52,2.99,5.26,0.50,1.65,1.84,0.86,1.85,,
June,2.53,1.26,1.69,3.94,2.43,3.54,1.54,4.88,1.15,2.01,,
July,2.56,0.82,3.41,2.85,2.37,3.37,4.29,1.69,1.66,4.22,,
August,5.44,3.55,1.98,3.15,0.79,2.86,3.08,3.66,0.83,5.57,,
September,3.88,3.15,4.02,2.59,2.95,3.04,3.16,5.83,0.11,2.75,,
October,1.61,2.91,4.08,2.47,4.87,1.56,1.54,3.36,3.90,7.85,,
November,6.23,4.46,1.51,5.73,1.25,0.88,3.94,1.91,4.11,6.41,,
December,3.12,2.79,0.77,2.12,3.12,4.16,2.73,4.73,6.86,3.77,,
Total,44.62,29.43,24.58,33.33,30.94,28.14,30.92,37.40,27.32,43.90,,
Calc annual,44.62,29.43,24.58,33.33,30.94,28.14,30.92,37.40,27.32,43.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
