GLEN CASSLEY (BEN MORE),,,,,,,,,,,,
Grid ref,NC346194,Long,-4.810696,Lat,58.132504,,,,,,,
Station no,5799/2/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,16.00,20.75,12.30,,,13.00,10.05,10.72,6.70,,
February,,11.00,11.30,8.85,,,11.00,14.50,4.28,10.40,,
March,,8.75,10.20,5.15,,,10.82,10.50,4.23,2.30,,
April,,5.00,8.09,5.30,,,6.04,9.16,9.18,8.53,,
May,2.00,10.18,4.39,7.50,,,5.00,9.70,8.83,2.95,,
June,3.00,11.02,4.03,7.50,,,7.39,3.61,13.86,6.40,,
July,11.52,8.56,8.00,12.50,,,6.08,3.40,13.75,5.00,,
August,5.36,12.85,10.10,7.00,,,20.00,9.27,9.17,6.20,,
September,6.50,14.55,12.90,8.50,,,17.06,5.30,5.65,4.80,,
October,6.73,17.25,6.10,20.90,,,20.65,18.00,14.97,4.30,,
November,16.70,12.50,23.90,15.08,,,13.01,7.30,9.58,6.95,,
December,24.00,13.40,11.60,29.10,,,20.00,11.07,9.65,17.78,,
Total,,141.06,131.36,139.68,,,150.05,111.86,113.87,82.31,,
Calc annual,75.81,141.06,131.36,139.68,0.00,0.00,150.05,111.86,113.87,82.31,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,,
