ARDNAMURCHAN ACHATENY,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 52204 69968,Long,-6.055368,Lat,56.75524,Elevation,61,ft,,,,,,,,,,,,
Station no,RR8282,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,7.98,3.47,9.79,4.85,10.98,9.5,5.52,7.16,11.7,7.56,9.01,4.81,8.72,,,,,
February,,,4.55,7.86,8.51,11.16,5.56,6.77,4.18,5.76,2.21,2.81,3.74,6.83,8.02,,,,,
March,,,7.31,2.76,7.42,3.71,3.2,3.76,3.47,4.84,5.28,2.13,1.65,2.99,6.84,,,,,
April,,,5.43,3.49,0.91,3.06,2.84,4.63,1.93,3.26,1.82,1.43,5.06,1.32,1.33,,,,,
May,,,4.1,3.39,6.29,2.68,4.2,3.97,4.64,2.7,2.5,2.19,7.59,2.98,3.99,,,,,
June,,,4.55,3.61,1.74,4.85,2.87,2.85,3.68,1.79,7.43,4.72,3.86,0.65,5.31,,,,,
July,,,7.4,3.6,4.92,3.97,5.48,6.48,2.71,1.24,5.97,6.63,3.21,4.14,4.96,,,,,
August,,,3.73,6.22,5.36,3.3,4.63,3.05,5.74,5.24,6.97,9.33,5.56,4.74,4.93,,,,,
September,,,6.98,2.84,3.71,10.34,6.51,3.63,3.37,3.77,6.99,8.75,8.7,6.22,0.85,,,,,
October,,,6.2,8.2,8.68,6.14,4.83,3.7,4.4,3.51,11.72,3.43,3.49,14.08,6.88,,,,,
November,,,8.78,10.03,10.41,5.56,8.49,6.73,6.31,6.21,9.28,9.36,5.24,6.96,7.81,,,,,
December,,,7.14,10.6,10.94,6.35,9.52,6.78,5.45,9.7,1.44,7.78,2.29,11.63,10.48,,,,,
Total,,,74.15,66.07,78.68,65.97,69.11,61.85,51.4,55.18,73.31,66.12,59.4,67.35,70.12,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8282,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
