TIMPERLEY-BLOOMSBURY-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ782886,Long,-2.3292839,Lat,53.393778,Elevation,98,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2741/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,1.38,3.09,4.45,4.13,2.24,3.6,2.23,7.04,,,,,1.38,2.98,2.38,4.63,1.66,2.95,,
February,,,,,,,,,,,2.78,1.6,2.34,1.22,2.91,4.87,0.52,1.72,,,,,1.05,3.19,1.96,0.63,2.25,4.89,,
March,,,,,,,,,,,2.48,2.17,0.78,0.52,0.93,0.79,5.7,1.07,,,,,1.78,2.25,1.9,1.2,2.57,1.66,,
April,,,,,,,,,,,1.31,1.48,1.03,2.24,1.95,1.06,2.33,1.91,,,,,2.79,0.63,1.79,3.35,0.39,0.67,,
May,,,,,,,,,,,1.64,3.62,2.06,3.26,3.96,1.13,2.09,1.19,,,,,1.86,2.62,2.71,1.18,1.34,2.69,,
June,,,,,,,,,,,0.49,0.44,2.69,2.25,2.61,3.5,2.34,4.15,,,,,2.24,2.85,2.94,2.33,1.42,4.83,,
July,,,,,,,,,,,3.01,3.28,1.96,3.8,1.99,3.71,2.01,2.39,,,,,3.79,3.99,0.75,4.88,5.42,4.38,,
August,,,,,,,,,,,4.4,5,4.84,3.48,2.37,3.77,0.38,4.27,,,,,4.03,4.68,0.83,8.57,4.26,3.77,,
September,,,,,,,,,,,0.42,2.15,3.78,3.59,1.32,4.98,2.19,2.26,,,,,2.93,3.96,2.16,2.54,5.58,3.68,,
October,,,,,,,,,,,3.66,4.57,2.91,3.3,5.49,0.61,0.58,2.03,,,,,1.98,5.63,1.94,2.06,3.46,2.64,,
November,,,,,,,,,,6.08,2.45,0.57,2.35,5.58,0.36,4.49,3.44,1.89,,,,,2.96,5.34,1.66,1.06,1.52,1.12,,
December,,,,,,,,,,2.66,1.1,3.48,1.55,2.56,2.61,3.26,2.36,2.89,,,,,1.28,4.51,3.41,2.77,2.56,3.29,,
Total,,,,,,,,,,,25.12,31.45,30.74,35.93,28.74,35.77,26.17,32.81,,,,,28.07,42.63,24.43,35.2,32.43,36.57,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Bloomsbury Lane. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
