MID CALDER (HOWDEN),,,,,,,,,,,,,,,,,,,,
Grid ref,NT053676,Long,-3.515793,Lat,55.892185,Elevation,400,ft,,,,,,,,,,,,
Station no,5132/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.83,1.71,2.91,2.62,0.65,3.24,2.13,1.59,4.01,1.97,0.9,2.27
February,,,,,,,,,3.05,3.09,2.43,0.72,0.93,1.59,1.76,1.69,3.54,2.4,0.96,2.49
March,,,,,,,,,0.99,2.53,3.48,1.08,0.55,1.89,1.83,1.75,2.22,1.35,1.01,1.29
April,,,,,,,,,1.92,2.48,3.37,1.31,2.63,1.29,0.72,0.53,1.25,2.29,2.1,1.38
May,,,,,,,,,1.73,1.41,2.6,1.44,1.98,4.67,2.78,1.12,1.53,3.23,1.45,1.38
June,,,,,,,,5.48,0.88,2.43,1.95,2.5,1.31,2.15,1.2,2.54,1.77,4.17,2.18,0.97
July,,,,,,,,3.68,1.72,4.28,3.87,2.68,4.37,2.13,1.69,4.52,3.52,6.73,3.15,2.52
August,,,,,,,,8.24,3.41,2.98,5.34,4.36,2.46,5.79,1.25,5.99,3.91,5.2,0.58,3.67
September,,,,,,,,3.38,1.77,6.61,1.93,2.21,2.31,3.81,2.04,3.45,1.82,4.15,0.73,1.99
October,,,,,,,,2.19,4.86,2.43,0.78,2.21,1.48,7,1.7,2.36,2.63,1.8,3.05,3.4
November,,,,,,,,2.95,3.42,3.96,5.37,2.41,4.58,4.02,1.22,0.85,1.8,1.44,5.86,2.96
December,,,,,,,,3.29,5.43,1.82,3.44,3.1,3.52,4.06,4.82,3.37,3.55,4.72,3.48,3.42
Total,,,,,,,,,32.01,35.73,37.47,26.64,26.77,41.64,23.14,29.76,31.55,39.45,25.45,27.74
,,,,,,,,,,,,,,,,,,,,
1948 100s transcribed originally so removed; incomplete year,,,,,,,,,,,,,,,,,,,,
245,MIDCALDER ,1948-1961,,,,,,,,,,,,,,,,,,
