"DARTMOOR NUNS CROSS",,,,,,,,,,,,
Grid ref,SX604699,Long,-3.970267,Lat,50.512201,,,,,,,
Station no,1650,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.45,5.67,3.40,7.40,9.45,3.45,12.46,2.65,3.90,2.80,,
February,10.08,2.27,3.65,4.50,10.15,2.10,6.55,3.48,3.70,0.86,,
March,3.12,5.46,4.65,8.60,5.10,8.95,2.47,2.33,6.03,11.10,,
April,2.71,5.80,3.40,3.20,5.27,4.81,1.72,8.80,3.90,4.40,,
May,3.20,2.44,2.75,4.95,4.50,1.08,5.90,5.50,3.75,2.16,,
June,6.44,2.94,4.25,1.70,2.04,3.25,1.95,5.47,1.05,3.75,,
July,2.34,1.80,3.55,5.50,7.05,1.20,1.95,3.08,4.50,6.13,,
August,4.52,4.95,5.25,5.90,4.20,6.90,4.45,4.15,6.35,4.55,,
September,2.90,5.96,2.70,6.15,4.60,3.00,1.65,1.90,3.15,2.28,,
October,4.40,3.88,5.40,14.12,3.30,3.90,10.15,9.10,2.90,14.40,,
November,6.66,1.30,9.45,3.75,3.00,8.00,5.12,6.30,3.20,2.35,,
December,11.48,7.87,6.10,10.80,7.15,3.08,4.90,8.45,6.45,10.20,,
Total,67.30,50.34,54.55,76.57,65.81,49.72,59.27,61.21,48.88,64.98,,
Calc annual,67.30,50.34,54.55,76.57,65.81,49.72,59.27,61.21,48.88,64.98,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
