KINGS NEWNHAM,,,,,,,,,,
Grid ref,SP447771,Long,-1.3445922,Lat,52.390108,Elevation,276,ft,,
Station no,RR8871,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.89,2.25,1.19,1.79,2.12,
February,,,,,1.57,2.95,3.73,1.1,1.33,
March,,,,,2.72,0.91,4.01,1.45,1.12,
April,,,,,1.06,0.9,1.01,1.14,2.44,
May,,,,,1.75,2.07,2.37,2,1.56,
June,,,,,2.34,0.46,1.29,2.27,0.8,0.76
July,,,,,2.28,4.92,1.38,1.52,3.72,2.95
August,,,,,1.45,2.03,3.52,3.91,1.42,2.18
September,,,,,0.75,1.3,1.09,1.53,4.48,2.52
October,,,,,2.24,1.7,1.75,3.17,1.51,2.13
November,,,,,2.52,2.08,3.65,0.9,1.71,1.03
December,,,,,5.4,3.97,2.35,0.82,2.47,3.67
Total,,,,,24.97,25.54,27.34,21.6,24.68,
