NUTFIELD-ELSTREE-OLD-GAUGE,,,,,,,,,,,
Grid ref,TQ292502,Long,-0.15069585,Lat,51.236363,Elevation,430,ft.,,,
Station no,123,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,2.4,3.65,1.39,3.13
February,,,,,,,,4.46,1.64,0.46,0.99
March,,,,,,,,3.09,1.99,0.01,1.95
April,,,,,,,,2.17,1.75,0.88,1.72
May,,,,,,,,1.12,2.37,1.89,2.94
June,,,,,,,3.78,3.66,2.64,1.46,0.66
July,,,,,,,1.96,3.16,1.72,2.43,2.88
August,,,,,,,1.96,5.07,2.59,2.41,3.53
September,,,,,,,1.43,5.74,0.7,0.13,3.74
October,,,,,,,2.39,1.8,5.36,4.01,1.78
November,,,,,,,5.66,2.87,2.47,6.17,4.52
December,,,,,,,0.54,4.73,3.4,6.54,2.19
Total,,,,,,,,40.27,30.28,27.78,30.03
,,,,,,,,,,,
NGR is Elstree. Altitudes match.,,,,,,,,,,,
