LLANFIHANGEL-NANT-MELAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO179581,Long,-3.2030816,Lat,52.214974,Elevation,985,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4222/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.56,2.99,4.37,4.25,7.51,3.24,2.48,,,,,0.82,4.26,4.28,1.72,3.63,3.07,5.26,3.61,4.13,5.48,6.87
February,,,,,,,,,3.72,2.97,4.74,0.96,3.07,1.25,3.89,,,,,8,3.65,0.95,3.04,4.65,,0.76,4.21,6.75,0.24,4.58
March,,,,,,,,,2.18,3.36,4.1,3.1,0.96,0.75,1.79,,,,,1.98,6,2.08,3.35,4.01,3.2,1.94,3.57,1.69,4.41,2.64
April,,,,,,,,,2.88,4.03,1.63,2.87,0.67,1.94,1.78,2.02,,,,2.91,3.53,2.58,3.16,0.62,2.02,1.05,0.33,1.04,5.27,3.39
May,,,,,,,,,0.88,2.91,3.17,6.04,3.19,1.97,3.84,3.86,,,,2.31,2.71,2.97,2.47,3.03,5.27,0.78,2.48,2.97,3.48,1.66
June,,,,,,,,,2.22,0.91,3.04,0.28,2.34,2.46,4.63,4.98,,,1.04,2.12,0.75,2.96,1.79,6.14,5.8,3.1,1.41,4.46,3.65,2.04
July,,,,,,,,,7.91,4.34,2.75,3.06,2.21,2.19,1.85,2.12,,,0.88,4.07,1.41,1.23,3.99,3.55,1.52,4.15,3.9,4.03,3.75,4.09
August,,,,,,,,,1.79,0.29,5.4,3.35,2.88,2.21,2.66,5,,,2.19,4.4,5.24,4.84,4.35,5.45,1.44,5.06,4.4,3.96,1.29,3.94
September,,,,,,,,,1.16,1.68,1.47,3.2,4.27,3.65,2.54,6.36,,,2.4,6.57,2.84,4.22,4.3,2.7,1.47,5.04,7.1,5.73,0.25,5.43
October,,,,,,,,,3.21,5.37,3.93,3.67,5.28,5.58,5.41,1.77,,,7.76,2.29,0.93,5.26,2.43,7.28,2.27,2.12,3.42,4.52,4.71,7.86
November,,,,,,,,,8.41,9.75,4.46,0.76,3.72,6.36,0.87,8.21,,,5.72,4.52,10.85,4.04,3.57,9.02,,2.06,3.7,2.43,5.53,7.64
December,,,,,,,,,2.89,2.96,2.84,5.94,3.02,4,6.31,4.29,,,4.97,3.4,3.83,4.7,1.46,3.58,,5.05,3.88,5.49,8.1,5.81
Total,,,,,,,,,43.81,41.56,41.9,37.48,39.12,35.6,38.05,,,,,43.39,46,40.11,35.63,53.66,,36.37,42.01,47.2,46.16,55.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is in Llanfihangel-Nant-Melan with stated relationship to church altitudes match. 1950s record has NGR of SO107590, which is in the middle of nowhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
