RHYL-PIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ006818,Long,-3.4937953,Lat,53.323756,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,0.72,0.75,2.44,1.88,2.42,1.02,2.95,2.69,0.82,0.68,2.27,1.4,1.54,1.05,1.94,2.62,0.73,0.94,1.14,2.75,2.63,,,,,,,,,
February,1.05,2.26,1.77,1.08,2.36,2.25,1.1,0.37,0.86,1.49,0.94,0.13,1.38,1.97,1.99,0.31,0.99,1.85,1.45,1.83,2.68,,,,,,,,,
March,1.6,2.04,2.06,1.46,1.9,1,1.91,1.09,1.74,1.91,1.14,1.03,1.07,0.55,1.62,2.15,3.91,1.66,0.48,1.13,1.02,,,,,,,,,
April,1.51,0.61,3.23,0.65,1.26,1.06,1.55,1.08,1.17,2.95,0.82,1.16,1.3,0.83,2.01,1.79,1.12,2.11,1.42,2.14,1.25,,,,,,,,,
May,1.8,2.24,0.84,1.32,1.1,1.79,5.03,1.37,0.5,1.9,2.19,2.19,2.35,1.48,2.95,0.9,0.21,0.8,3.36,2.24,1.26,,,,,,,,,
June,2.8,2.85,3.37,1.54,0.82,0.82,1.54,1.05,2.03,0.52,3.13,3.18,2.96,1.32,1.6,0.44,1.82,2.17,2.15,1.58,1.42,,,,,,,,,
July,5.42,1.95,2.9,1.05,3.58,1.54,3.11,1.31,4.18,1.37,1.54,1.83,1.26,2.35,1.93,4.46,3.82,0.5,0.74,1.75,1.75,,,,,,,,,
August,1.63,4.36,2.04,1.66,1.56,1.23,1.07,2.48,3.17,3.73,3.18,3.39,2.8,1.38,2.87,1.52,1.88,2.54,3.5,0.69,4.97,,,,,,,,,
September,2.31,0.74,2.29,3.73,1.87,2.68,2.66,2.27,0.62,1.74,1.13,3.31,2.49,2.4,0.68,0.69,4.85,3.52,2.31,2.84,0.52,,,,,,,,,
October,3.76,2.42,1.88,4.69,1.53,5.34,5.07,2.54,1.87,3.88,2.09,1.93,6.18,2.03,3.71,5.48,3.96,1.11,2.77,3.37,4.12,,,,,,,,,
November,3.27,2.84,4.9,2.86,1.89,2.1,2.71,1.46,2.72,1.92,4.85,2.72,1.34,1.43,2,3.03,1.01,2.99,0.87,1.31,3.01,,,,,,,,,
December,5.85,2.41,2.33,1.61,2.45,1.14,4.54,1.95,1.19,2.4,1.07,3.61,1.85,2.73,1.44,1.92,3.11,2.74,1.79,2.04,1.69,,,,,,,,,
Total,31.72,25.47,30.05,23.53,22.74,21.97,33.24,19.66,20.87,24.49,24.35,25.88,26.52,19.52,24.74,25.31,27.41,22.93,21.98,23.67,26.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the pier. 1900s record suggests the gauge was on the pier in 1900 and it may be that the gauge moved here in 1884; the relationship to the church is a reasonable match and the disatance from Sedgley House is slightly more than 0.25 miles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
