RHYL-SEDGLEY-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ012818,Long,-3.4847906,Lat,53.323868,Elevation,21,ft,,,,,,,,,,,,
Station no,4284,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.71,4.63,2.28,1.11,0.72,0.75,2.44,1.88,2.42,,,,,
February,,,,,,,1.63,2.08,0.78,2.09,1.05,2.26,1.77,1.08,2.36,,,,,
March,,,,,,,2.1,2.61,1.27,0.84,1.6,2.04,2.06,1.46,1.9,,,,,
April,,,,,,,2.62,1.8,0.65,1.86,1.51,0.61,3.23,0.65,1.26,,,,,
May,,,,,,,0.33,1.86,2.48,1.58,1.8,2.24,0.84,1.32,,,,,,
June,,,,,,,1.4,0.74,2.4,3.63,2.8,2.85,3.37,1.54,,,,,,
July,,,,,,,2.18,3.84,0.28,3.57,5.42,1.95,2.9,1.05,,,,,,
August,,,,,,,2.82,4.5,4.13,8.34,1.63,4.36,2.04,1.66,,,,,,
September,,,,,,3.36,4.88,3.26,3.64,1.87,2.31,0.74,2.29,3.73,,,,,,
October,,,,,,3.92,2.86,3.24,2.88,0.96,3.76,2.42,1.88,4.69,,,,,,
November,,,,,,2.83,3.97,4.6,2.3,1.16,3.27,2.84,4.9,2.86,,,,,,
December,,,,,,0.92,3.34,2.24,2.49,1.09,5.85,2.41,2.33,1.61,,,,,,
Total,,,,,,,28.84,35.4,25.58,28.1,31.72,25.47,30.05,23.53,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is what seems to be Sedgeley House on Russell Road on the corner of St Asaph Street. Altitudes match. There is a note that the gauge moved 0.25 miles in 1884 but no direction given.,,,,,,,,,,,,,,,,,,,,
