METHWOLD-DUCHY-OF-LANCASTER-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL730946,Long,0.54847402,Lat,52.521812,Elevation,40,ft,,,,,,,,,,,,
Station no,1458/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.06,1.18,1.97,2.99,3.39,3.26,4.72,1.67,2.12,,,,,,,,,
February,,,1.18,0.44,1.78,2.39,3.2,0.76,1.02,2.13,2.45,,,,,,,,,
March,,,2.1,1.47,0.42,0.63,4.07,0.51,2.16,2.57,3.67,,,,,,,,,
April,,,1.01,1.84,2.69,1.61,2.79,0.6,2.37,1.46,1.16,,,,,,,,,
May,,,1.45,0.72,0.9,0.81,2.71,1.94,1.06,1.49,1.98,,,,,,,,,
June,,,2.33,1.31,3.33,3.77,2.72,1.14,2.15,0.92,0.86,,,,,,,,,
July,,,2.36,1.2,0.8,5.83,2.49,2.06,1.38,2.68,2.11,,,,,,,,,
August,,,0.79,1.72,1.09,1.22,1.7,1.22,4.47,0.19,3.9,,,,,,,,,
September,,,2.29,1.5,3.73,3.14,2.66,2.48,2.74,1.01,0.3,,,,,,,,,
October,,,2.62,1.24,2.65,1.45,1.61,2.71,4.03,1.52,1.99,,,,,,,,,
November,,,1.89,1.34,3.4,2.5,1.8,2.17,3.91,5.55,2.18,,,,,,,,,
December,,,0.67,4.62,1.88,1.34,2.86,3.4,2.04,1.57,1.09,,,,,,,,,
Total,,,19.75,18.58,24.64,27.68,32,22.25,32.05,22.76,23.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1939 Jul IDR,,,,,,,,,,,,,,,,,,,,
