PORLOCK-NUTSCALE-RES,,,,,,,,,,
Grid ref,SS862433,Long,-3.62937,Lat,51.17757,Elevation,1000,ft,,
Station no,2097/6/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.9,5.7,7.1,6,6.05,7.2,6.8
February,,,,6.25,4.7,0.4,7.3,6.6,0.3,6.1
March,,,,5.65,1.9,2.3,5,2,4.5,3.1
April,,,,0.8,2.5,2,0.2,1.6,5.8,3.65
May,,,,3.75,7.15,1,2.7,6,1.7,1.6
June,,,,4.26,3.7,2.3,1.6,3.7,2.5,3
July,,,,6.06,2.6,5.2,5.2,3.7,3.4,6.8
August,,,,4.36,0.8,5,5.7,5.4,5.8,4.3
September,,,,7.09,3,10.7,8.9,8.68,0.3,5.8
October,,,,7.7,3.4,4,6.5,5.3,7.2,14.9
November,,,,12.5,4.6,1.7,3.8,3.6,8.6,11.2
December,,,,6.2,8.8,7.6,4.3,5.95,13.8,10.3
Total,,,,67.52,48.85,49.3,57.2,58.58,61.1,77.55
,,,,,,,,,,
,,,,,,,,,,
1953 No obstruction in the area of gauge. Ground heather covered moorland,,,,,,,,,,
NGR taken from MIDAS as nearer Res with matching elevation,,,,,,,,,,
1957-1960 Weekly read,,,,,,,,,,
,,,,,,,,,,
Note says Rejected Av 1916-1950 10inch low,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as NUTSCALE RESR SRC_ID 9016,,,,,,,,,,
1954-1995,,,,,,,,,,
