"CHAGFORD (HURSTON RIDGE)",,,,,,,,,,,,
Grid ref,SX668828,Long,-3.884677,Lat,50.629639,,,,,,,
Station no,1740/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.60,11.20,1.81,4.46,10.35,9.07,10.37,9.47,13.61,8.29,,
February,9.30,1.88,3.21,7.70,8.05,0.78,16.65,9.76,0.47,9.98,,
March,8.00,6.79,2.73,7.23,3.27,4.76,7.22,2.60,9.25,5.70,,
April,5.90,5.94,4.77,1.28,2.47,1.35,0.45,2.50,8.90,6.26,,
May,4.06,3.77,5.07,6.61,7.63,1.19,3.68,7.72,2.70,3.06,,
June,2.02,2.85,3.57,5.89,3.71,3.32,3.75,5.56,1.80,2.80,,
July,3.82,1.87,5.63,6.12,3.81,6.47,7.61,5.27,2.50,7.40,,
August,9.15,9.31,4.77,5.99,0.70,7.81,6.97,7.89,2.24,5.85,,
September,6.32,6.79,8.55,8.55,2.87,12.35,8.29,9.12,0.68,8.25,,
October,2.76,10.03,5.83,8.88,3.62,4.17,5.82,6.55,8.64,15.18,,
November,13.15,7.57,6.83,16.58,8.09,4.75,4.04,5.75,14.78,13.18,,
December,8.50,7.59,2.14,8.19,12.15,12.29,6.85,8.63,19.31,10.87,,
Total,83.58,75.59,54.91,87.48,66.72,68.31,81.70,80.82,84.88,96.82,,
Calc annual,83.58,75.59,54.91,87.48,66.72,68.31,81.70,80.82,84.88,96.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
