CHAGFORD-HURSTON-RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX669828,Long,-3.88277,Lat,50.63056,Elevation,1350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1740/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,6.2,9.31,1.8,10.57,17.4,10.91,11.12,3.39,7.94,7.63,14.22,5.71,5.99,10.71,7.27,17.78,2.87,3.87,10.6,11.2,1.81,4.46,10.35,9.07,10.37,9.47,13.61,8.29
February,,,5.81,0.3,8.77,7.8,14.21,3.37,4.49,8.02,9.61,0.85,5.18,1.39,9.84,8.37,3.15,5.08,4.41,15.14,9.3,1.88,3.21,7.7,8.05,0.78,16.65,9.76,0.47,9.98
March,,4.86,7.73,4.76,1.72,6.77,9.54,0.71,2.54,6.24,7.69,5.11,2.34,0.5,3.7,5.3,15.49,4.45,3.23,4.94,8,6.79,2.73,7.23,3.27,4.76,7.22,2.6,9.25,5.7
April,,5.95,2.26,5.32,9.37,4.61,7.02,0.45,4.91,4.52,1.62,4.13,2,3.74,2.3,4,8.08,4.47,3.5,5.49,5.9,5.94,4.77,1.28,2.47,1.35,0.45,2.5,8.9,6.26
May,,4.96,4.47,3.55,3.12,1.27,3.51,4.71,1.45,2.51,3.82,10.37,6.43,1.11,5.82,8.17,3.83,3.68,5.71,4.78,4.06,3.77,5.07,6.61,7.63,1.19,3.68,7.72,2.7,3.06
June,,4.07,2.18,2.5,7.22,3.45,1.68,3.34,4.17,0.85,2.51,0.73,2.72,5.1,6.25,5.2,4.82,5.22,0.86,2.35,2.02,2.85,3.57,5.89,3.71,3.32,3.75,5.56,1.8,2.8
July,,6.22,4.35,0.71,1.03,13.44,2.71,6.19,10.35,4.91,2.1,3.61,4.36,5.54,5.74,3.09,3.69,3.01,3.07,6.71,3.82,1.87,5.63,6.12,3.81,6.47,7.61,5.27,2.5,7.4
August,,2.41,4.1,5.59,2.88,0.61,1.19,7.49,3.7,0.24,7.02,3.77,4.61,5.89,2.83,8.01,1.23,5.35,3.27,8.78,9.15,9.31,4.77,5.99,0.7,7.81,6.97,7.89,2.24,5.85
September,,8.5,2.09,5.17,7.98,4.3,3.3,1.95,0.76,3.48,0.63,3.91,5.91,6.22,5.27,10.4,3.34,5.01,7.1,8.9,6.32,6.79,8.55,8.55,2.87,12.35,8.29,9.12,0.68,8.25
October,,15.14,7.12,6.75,8.25,3.27,5.26,8.87,7.78,8.21,2.59,4.32,6.58,11.01,8.04,4.42,2.24,7.78,13.64,2.64,2.76,10.03,5.83,8.88,3.62,4.17,5.82,6.55,8.64,15.18
November,,5.78,2.01,2.97,10.62,7.54,4.28,12.48,17.15,14.82,6.47,2.21,5.24,17.31,1.84,17.76,7.3,4.6,8.94,15.08,13.15,7.57,6.83,16.58,8.09,4.75,4.04,5.75,14.78,13.18
December,,5.58,3.05,18.28,9.97,12.34,6.3,8.24,5.41,4.76,6.31,9.79,5.2,8.2,11.01,9.43,7.56,14.21,5.75,7.05,8.5,7.59,2.14,8.19,12.15,12.29,6.85,8.63,19.31,10.87
Total,,,51.37,65.21,72.73,75.97,76.4,68.71,73.83,61.95,58.31,56.43,64.79,71.72,68.63,94.86,68,80.64,62.35,85.73,83.58,75.59,54.91,87.48,66.72,68.31,81.7,80.82,84.88,96.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932 Jan and Feb in brackets, so assume estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Total also in brackets so removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 June in brackets but total left in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr Inspection found gauge sound and site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After 1960 this gauge was Hurston-Ridge Src_Id 8343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The site is still in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
