SHEPTON-MALLET-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,ST624434,Long,-2.53907,Lat,51.18902,Elevation,475,ft,,,,,,,,,,,,
Station no,RR7663,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.86,4.32,4.13,1.29,5.93,1.41,2.43,1.87,4.55,1.59,4.96,6.03,1.53,4.36,1.87,1.57,3.55,
February,,,1.52,2.35,4.28,1.39,3.1,2.11,2.03,0.9,5.12,3.15,3.04,1.03,3.59,5.74,6.15,1.31,2.22,
March,,,2.56,4.15,2.18,4.66,2.65,1.17,3.22,4.22,1.06,2.95,6.82,3.35,7.21,1.33,4.26,3.32,1.48,
April,,2.46,1.45,4.03,2.02,2.92,1.6,5.6,2.74,2.83,2.75,2.5,0.23,3.44,1.84,1.64,1.96,2.47,2.79,
May,,1.43,3.3,3.11,3.6,0.23,5.23,2.38,2.22,1.43,2.13,1.32,1.83,3.12,1.87,2.92,3.92,1.95,1.97,
June,,0.96,4.63,4.62,1.27,3.27,1.87,2.84,0.57,2.84,6.03,2.88,4.14,1.65,2.13,1.08,2.53,5.69,1.86,
July,,1.93,2.03,4.47,3.03,0.91,1.54,2.93,3.62,4.18,3.34,0.03,3.27,1.3,4.57,5.29,1.81,3.53,6.07,
August,,2.62,4.21,6.16,3.55,5.42,2.85,4.03,5.79,2.45,5.18,1.52,9.62,1.46,3.69,3.89,7.07,8.55,3.35,
September,,2.71,1.55,3.13,2.55,2.04,1.02,0.83,3.24,4.76,0.19,1.27,0.82,3.41,1.99,1.67,3.43,2.75,6.52,
October,,2.37,2.87,8.05,2.37,2.15,6.83,5.96,2.73,7.14,5.38,3.76,5.39,2.97,2.82,4.85,7.34,5.83,2.13,
November,,1.11,3.66,2.71,3.35,4.12,4.48,3.67,1.56,1.2,5.11,3.71,2.36,3.81,4.5,2.36,4.79,1.37,2.79,
December,,7,2.7,3.3,3,1.2,2.86,5.47,3.68,5.27,6.81,9.03,6.4,2.63,7.88,8.21,4.52,0.77,5.1,
Total,,,32.34,50.4,35.33,29.6,39.96,38.4,33.83,39.09,47.65,33.71,48.88,34.2,43.62,43.34,49.65,39.11,39.83,
,,,,,,,,,,,,,,,,,,,,
1912 Sept Inspection Excellent gauge similar to Snowdon but with extra deep funnel Exposure good Generally read by students under supervision of master,,,,,,,,,,,,,,,,,,,,
