"DURNOCH ST GILBERT'S",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2455,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.41,2.93,2.70,2.59,,,,,,,,
February,1.61,0.52,2.04,1.36,,,,,,,,
March,1.64,2.06,1.75,0.56,,,,,,,,
April,1.84,0.80,2.19,2.41,,,,,,,,
May,2.29,3.17,2.41,1.87,,,,,,,,
June,0.65,1.01,1.14,1.02,,,,,,,,
July,2.06,2.35,2.61,2.62,,,,,,,,
August,2.19,1.44,2.13,,,,,,,,,
September,2.39,1.36,2.32,,,,,,,,,
October,1.66,2.09,0.96,,,,,,,,,
November,2.25,1.46,1.36,,,,,,,,,
December,2.28,3.90,1.23,,,,,,,,,
Total,23.27,23.09,22.84,,,,,,,,,
Calc annual,23.27,23.09,22.84,12.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
