"DORNOCH, ST GILBERTS",,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 796 897,Long,-4.031955,Lat,57.880636,Elevation,35,ft,,,,,,,,,,,,,
Station no,RR2455,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,0.5,2.9,2.4,3.49,2.49,2.73,1.78,2.41,2.93,2.7,,,,,,,,
February,,,,1.15,2.23,2.68,2.77,0.73,2.06,1.57,1.61,0.52,2.04,,,,,,,,
March,,,,1.71,2.8,2,1.96,1.7,1.17,2.37,1.64,2.06,1.75,,,,,,,,
April,,,,1.57,0.8,2.9,1.62,2.23,1.17,2.39,1.84,0.8,2.19,,,,,,,,
May,,,,1.98,2.02,1.08,3.01,1.51,1.35,0.23,2.29,3.17,2.41,,,,,,,,
June,,,,3.27,0.92,0.69,2.44,2.22,1.54,1.77,0.65,1.01,,,,,,,,,
July,,,,1.37,3.1,4.23,2.62,1.28,5.72,0.68,2.06,2.35,,,,,,,,,
August,,,,0.9,1.99,0.9,2.19,4.45,2.86,3.31,2.19,1.44,,,,,,,,,
September,,,,2.53,1.46,2.45,1.14,2.05,3.29,2.38,2.39,1.36,,,,,,,,,
October,,,,1.1,1.52,1.34,4.78,4.77,1.73,1.56,1.66,2.09,,,,,,,,,
November,,,,2.9,3.9,3.14,2.23,4.49,2.23,3.19,2.25,1.46,,,,,,,,,
December,,,,2.56,3.88,4.67,2.42,1.92,3.36,3.21,2.28,3.9,,,,,,,,,
Total,,,,21.54,27.52,28.48,30.67,29.84,29.21,24.44,23.27,23.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1922 May to Dec +T,,,,,,,,,,,,,,,,,,,,,
Deleted Gauge moved 30 miles,,,,,,,,,,,,,,,,,,,,,
1923 deleted,,,,,,,,,,,,,,,,,,,,,
