GLEN ISLA (TULCHAN LODGE),,,,,,,,,,
Grid ref,NO185723,Long,-3.337333,Lat,56.834993,Elevation,1450,ft,,
Station no,5586/85,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.4,5.1,2.8,4.8
February,,,,,,,4.85,5,1.15,6.95
March,,,,,,,4.9,4,4.8,6.2
April,,,,,,,1.95,3.05,4.05,2.85
May,,,,,,,2.25,4.65,1.25,2.75
June,,,,,,,2.3,3.35,3.4,2.75
July,,,,,,,4.65,5.45,5.1,3.65
August,,,,,,,5.55,4.25,1.68,5.7
September,,,,,,,3.5,5.75,1.32,4.86
October,,,,,,,3.8,4.1,6.95,8.04
November,,,,,,,2.1,1.15,9.85,6.65
December,,,,,,,6.15,7.1,12.85,4.9
Total,,,,,,,48.4,52.95,55.2,60.1
,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 P Mar Estd,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P Au Sep Oct Est,,,,,,,,,,
,,,,,,,,,,
Station no,5586/85,,,,,,,,,
Midas,15212,to 1983,,,,,,,,
Hyd Stn,872501,,,,,,,,,
