GODALMING-KINGSCOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU971425,Long,-0.61241525,Lat,51.173505,Elevation,280,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,184/4/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.66,2.88,5.92,1.89,2.05,2.66,1.22,4.94,1.06,0.88,3.72,2.14,1.33,,,,,,,
February,,,,,,,,,,,2.81,0.57,1.57,0.75,2.08,2.47,1.37,1.57,1.41,5.27,6.76,0.72,1.47,,,,,,,
March,,,,,,,,,,,3.19,1.95,0.52,0.17,0.92,1.14,5.07,0.88,1.1,1.34,4.4,2.66,0.62,,,,,,,
April,,,,,,,,,,,1.08,1.92,1.01,1.17,1.08,2.74,2.25,1.87,1.55,2.76,2.58,1.73,2.14,,,,,,,
May,,,,,,,,,,,2.16,3.58,2.94,0.71,1.77,3.36,1.68,2.53,2.2,1.64,2.58,2.24,2.4,,,,,,,
June,,,,,,,,,,,1.98,0.4,1.38,1.57,2.43,2.57,2.13,2.63,0.43,1.21,1.09,1.58,1.45,,,,,,,
July,,,,,,,,,,,2.57,2.04,1.67,1.47,5.56,1.79,0.9,0.94,0.97,4.29,1.72,1,3.94,,,,,,,
August,,,,,,,,,,,4.81,3.66,1.36,1.45,1.52,5.13,0.44,3.61,0.96,3.94,4.23,2.74,1.4,,,,,,,
September,,,,,,,,,,,0.24,1.92,1.76,2.35,2.26,3.82,1.21,1.9,1.31,3.45,2.84,3.28,2.4,,,,,,,
October,,,,,,,,,,,1.27,3.81,3.24,4.47,3.2,1.3,0.63,1.67,7.67,0.43,0.86,3.23,3.75,,,,,,,
November,,,,,,,,,,,3.66,1.95,1.56,4.16,0.29,5.38,1.12,1.56,2.93,5.84,8.63,3.16,1.46,,,,,,,
December,,,,,,,,,,,2.02,3.75,1.91,2.72,4.42,3.32,2.92,4.48,1.69,2,3.61,2.27,0.96,,,,,,,
Total,,,,,,,,,,,28.45,28.43,24.84,22.88,27.58,35.68,20.94,28.58,23.28,33.05,43.02,26.75,23.32,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record, which is also on the MIDAS record. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There is a house called Kingscote, 800m N at 34 Busbridge Lane, which matches altitude but not relationships to church and station.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannot locate the observer Reverend F P Synge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930s record is blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
