TONGE-SITTINGBOURNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ933636,Long,0.77377108,Lat,51.338618,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,1.75,1.56,1.29,2.52,3.86,2.99,2.04,0.63,1.48,2.98,0.68,1.61,2.7,0.17,1.4,2.64,0.6,4.1,3.63,2.75,3.57,
February,,,,,,,,,3,1.77,1.34,0.72,1.11,1.45,1.55,1.63,0.78,0.44,0.97,1.12,1.41,1.54,0.85,1,1.08,2.15,3.63,1.25,1.25,
March,,,,,,,,,2.62,1.6,0.16,3.29,0.27,0.99,0.45,1.67,0.6,0.93,0.65,1.87,2.25,2.22,2.84,0.75,2.93,1.76,1.89,3.08,1.21,
April,,,,,,,,,4.56,3.02,2.63,2.43,0.38,3.33,0.34,0.18,2.96,1.64,1.84,1.96,2.35,0.71,3.84,0.75,0.63,0.54,2.54,1.35,1.68,
May,,,,,,,,,0.25,1.93,3,1.28,2.99,1.2,3.14,1.36,3.13,1.37,2.25,1.74,3.31,1.18,1.47,1.48,1.86,3.05,1.6,2.87,1.24,
June,,,,,,,,,2.25,0.12,0.31,0.6,3.95,1.25,2.31,2.18,1.35,2.34,0.85,1.73,4.03,1.87,2,4.3,1.69,1.13,2.57,1.8,0.27,
July,,,,,,,,,1.93,1.98,1.88,3.24,0.71,2.4,1.1,3.41,2.4,1,2.67,2.59,2.37,1.78,1.43,0.61,0.48,4.01,2.36,4.54,1.02,
August,,,,,,,,,3.31,0.84,1.73,1.7,3.92,3.07,3.8,0.97,2.43,1.91,3.28,2.07,3.2,0.8,2.22,1.27,2.01,4.33,2.77,1.01,2.03,
September,,,,,,,,,3.58,2.25,1.18,0.42,3.96,1.75,2.68,0.71,3.55,5.33,0.88,3.12,2.19,1.4,2.41,2.77,2.82,0.33,4.18,1.35,2.74,
October,,,,,,,,,6.25,5.31,1.73,3.06,4.43,5.66,3.79,3.46,2.38,3.2,1.83,4.86,1.87,0.53,3.8,1.91,1.3,7.54,1.08,1.74,2.04,
November,,,,,,,,,2.75,0.84,2.91,1.07,4.54,0.61,2.23,2.61,1.24,2.04,0.82,3.25,2.74,5.7,1.87,2.06,3.98,3.37,1.92,1.02,1.81,
December,,,,,,,,,2.75,3.14,1.6,0.58,1.84,0.55,1.39,2.47,2.4,0.31,1.82,3.7,2.19,1.26,2.32,2.07,0.58,1.67,1.35,1.62,4.56,
Total,,,,,,,,,35,24.36,19.76,20.91,31.96,25.25,24.82,21.28,24.7,23.49,18.54,29.62,30.61,19.16,26.45,21.61,19.96,33.98,29.52,24.38,23.42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860 Total adj for arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1866 March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
