63 BLOOMSBURY ST BIRMINGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP087882,Long,-1.8731,Lat,52.4922,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.07,3.12,3.12,1.15,3.08,2.21,3.77,2.29,3.46,2.29,1.49,4.75,4.15,1.96,4.58,2.13,4.56,1.96,1.63,0.84,,2.5,4.44,3,,,,,
February,,2.68,0.66,0.58,1.77,2.63,2.57,1.6,1.89,3.08,2.3,1.73,3.41,1.71,2.69,1.68,2.97,2.01,1.11,3.57,2.93,,2.1,3.71,1.84,,,,,
March,,3.21,4.44,0.92,3.44,1.23,2.07,5.66,2.92,2.5,1.66,1.24,2.37,2.85,1.19,0.8,2.57,2.44,1.67,1.3,0.67,,3.43,1.28,2.1,,,,,
April,,1.08,2.18,0.96,1.45,0.6,1.07,2.43,1.94,1.82,0.91,3.85,3.92,0.78,1.98,1.09,2.51,2.82,2.17,3.08,2.74,,3.55,1.2,2.37,,,,,
May,,0.85,3.77,0.52,1.59,2.87,1.16,0.95,1.67,5.75,1.3,2.16,2.27,2.39,3.24,2.1,0.54,2.84,5.33,4.36,1.7,,2.85,1.62,1.19,,,,,
June,,4.8,2.23,4.21,1.63,2.36,3.93,1.8,0.19,1.21,0.78,3,5.77,4.45,0.87,3.2,2.23,1.39,3.37,6.15,2.49,,4.1,3.65,1.16,,,,,
July,,5.86,2.11,0.96,0.88,3.89,2.1,2.49,0.39,0.58,1.27,4.55,3.56,2.72,1.25,8.85,1.42,5.06,0.98,4.7,5.18,,4.41,3.46,3.31,,,,,
August,,0.85,1.71,3.38,0.48,4.59,4.07,2.49,5.52,1.26,1.72,2.18,3.81,3.07,2.18,2.02,2.7,3.94,6.44,6.08,0.97,,2.33,0.79,0.75,,,,,
September,,3.29,5.01,2.33,3.46,0.21,6.2,3.59,2.47,4.1,0.8,6.01,2.65,2.12,3.57,3.3,4.35,2.9,3.15,4.07,4.81,,2.97,5.64,2.16,,,,,
October,,1.88,3.11,3.95,2.56,5.06,2.57,2.85,1.92,1.66,6.22,1.96,4.65,1.68,3.58,7.36,2.26,1.74,3.66,1.47,6.44,,5.93,3.24,1.88,,,,,
November,,2.72,0.88,2.35,2.42,2.25,2.35,1.01,1.82,2.04,2.2,0.83,3.47,2.3,2.77,3.46,3.71,3.12,3.15,1.98,2.13,,4.55,4.36,1.39,,,,,
December,,1.52,2.05,1.28,2.68,1.1,1.9,2.4,6.6,4,2.2,1.62,4.51,0.56,2.6,0.92,5.5,1.87,2.44,0.73,3.64,,3.99,1.47,3.18,,,,,
Total,,29.81,31.27,24.56,23.51,29.87,32.2,31.04,29.62,31.46,23.65,30.62,45.14,28.78,27.88,39.36,32.89,34.69,35.43,39.12,34.54,,42.71,34.86,24.33,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_03_pt3-page-095.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt2-page-075.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt4-page-039.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
