BLACKDOWN-BEACON,,,,,,,,,,
Grid ref,SU923292,Long,-0.68445598,Lat,51.054737,Elevation,610,ft,,
Station no,0461/2/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.39,2,5.16,5.42,2.5,4.11,4.92,4.09
February,,,1.78,3.03,2.56,0.1,6.36,2.98,0,3.54
March,,,0.83,9.35,2.15,0.99,3,2.42,3.94,2.18
April,,,,0.2,0.43,2.55,0.42,0.77,3.27,1.36
May,,,,2.69,6.04,0.33,1.95,3.59,1.25,1.03
June,,,,2.14,3.2,3.43,1.57,4.1,1.54,1.46
July,,,,3.64,1.94,3.19,3.02,2.4,2.26,4.18
August,,4.08,1.32,4.24,1.37,5.84,3.28,4.14,2.15,5.37
September,,4.99,,3.23,2.84,3.92,3.27,5.5,0,5.1
October,,6.08,3.42,3,6.25,1.9,2.37,3.25,3.57,10.6
November,,5.98,,7.76,3.48,0.98,3.14,2.3,4.1,7.81
December,,3.55,0.16,4.15,3.81,6.35,2.75,3.85,8.14,5.25
Total,,,,45.43,39.23,35,33.63,39.41,35.14,51.97
