HAYLING-ISLAND-LITTLEMEAD,,,,,,,,,,,,,,,,
Grid ref,SU718011,Long,-0.98235,Lat,50.80503,Elevation,15,ft,,,,,,,,
Station no,RR7955,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915
January,,,,,,,6.92,0.69,0.94,1,2.96,0.87,3.41,4.47,0.57,4.61
February,,,,,,,2.87,0.96,0.92,0.29,3.46,1.51,1.74,1.04,4.16,
March,,,,,,,1.09,0.44,2.39,3.43,0.99,1.72,3.43,2.53,4.3,
April,,,,,,,0.79,3.68,2.03,1.24,1.86,1.16,0.14,2.67,1.09,
May,,,,,,,2.24,2.68,1.52,1.54,1.37,1.79,1.59,2.41,1.16,
June,,,,,,,1.34,1.58,0.47,2.63,1.91,1.57,3.02,0.35,1.41,
July,,,,,,,0.45,1.01,1.35,2.61,2.49,0.96,1.63,1.8,3.13,
August,,,,,,,0.8,1.09,2.45,3.6,3.51,0.53,6.56,1.88,1.49,
September,,,,,,,1.45,0.63,1.15,3.61,0.09,1.39,2.71,2.45,1.27,
October,,,,,,,4.6,6.27,3.15,6.86,3.58,5.34,3.06,5.29,2.25,
November,,,,,,,4.31,2.31,1.2,0.84,3.82,4.87,1.71,2.54,3.44,
December,,,,,,,1.85,3.11,3.35,4.12,3.71,7.74,3.18,1.85,8.19,
Total,,,,,,,28.71,24.45,20.92,31.77,29.75,29.45,32.18,29.28,32.46,
,,,,,,,,,,,,,,,,
1915 Feb Gauge moved to Acacias 0.5 miles SSW,,,,,,,,,,,,,,,,
