GRENOSIDE (COUNCIL OFFICES),,,,,,,,,,,,
Grid ref,SK336935,Long,-1.495688,Lat,53.437213,,,,,,,
Station no,3136/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,3.18,0.86,2.44,2.19,5.12,1.73,3.29,3.00,5.42,,
February,2.73,0.63,1.82,2.65,2.91,1.21,2.63,4.71,0.08,2.70,,
March,3.17,1.90,1.67,2.01,3.29,1.12,1.91,2.09,1.13,1.82,,
April,1.56,1.48,1.99,0.37,0.48,2.33,0.08,0.59,3.74,1.13,,
May,3.64,2.12,1.93,4.09,3.51,0.60,0.87,2.66,1.00,2.02,,
June,0.58,1.48,2.42,1.92,2.74,3.67,1.42,5.54,1.33,1.09,,
July,1.42,1.65,2.84,1.73,0.77,4.74,3.02,5.03,1.22,2.93,,
August,2.62,1.48,2.55,6.47,0.37,5.03,4.09,2.46,0.87,4.03,,
September,1.54,2.56,1.47,1.89,1.00,3.22,3.73,2.80,0.00,4.28,,
October,1.02,4.68,1.89,3.43,2.01,1.41,1.62,2.11,2.34,7.09,,
November,7.45,0.98,2.02,6.25,2.25,0.86,2.36,0.64,4.04,4.36,,
December,3.78,2.09,1.32,3.68,2.86,3.32,3.22,3.71,4.69,3.71,,
Total,31.27,24.23,22.78,36.93,24.38,32.63,26.68,35.63,23.44,40.58,,
Calc annual,31.27,24.23,22.78,36.93,24.38,32.63,26.68,35.63,23.44,40.58,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
