THROCKLEY FILTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ153668,Long,-1.762386,Lat,54.995549,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3563/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.55,3.52,2.33,2.7,0.68,4.62,1.41,1.41,7.29,0.89,1.89,1.65,1.55,0.73,2.32,2.1,2.97,1.43,1.38,1.95,3.93
February,,,,,,,,,,1.6,4.12,1.61,0.92,2.03,1.72,0.45,2.54,1.17,0.66,3.9,2.13,0.55,1.15,1.86,1.84,2.32,1.8,2.64,0.47,1.33
March,,,,,,,,,,2.57,2.35,0.72,0.74,0.59,0.58,1.72,3.44,0.58,0.86,0.68,4.11,1.41,0.14,0.96,1.67,1.03,1.49,2.74,0.59,1.42
April,,,,,,,,,,1.22,1.67,0.66,1.23,1.99,2.13,1.38,2.56,1.67,1.34,1.8,1.77,1.12,2.37,0.6,0.99,1.09,0.67,1.58,1.92,0.78
May,,,,,,,,,,0.99,1.87,0.77,2.45,2.25,4.01,2.41,1.73,2.19,0.7,1.63,3.35,1.6,2.21,4.81,2.03,0.51,1.88,2.52,0.34,2.17
June,,,,,,,,,,0.67,2.83,1.15,1.77,2.7,2.99,2.99,2.72,2.87,0.89,1.13,1.71,2.09,2.48,2.22,2.65,2.83,2.11,2.66,2.49,0.29
July,,,,,,,,,,5.79,1.41,2.57,2.3,2.85,3.04,4.27,3.45,1.11,2.05,4.79,2.5,1.13,1.99,2.48,1.89,3.14,2.79,3.57,1.6,3.82
August,,,,,,,,,,0.95,2.55,2.5,5.08,1.99,2.33,5.25,0.6,4.64,2.65,4.12,5.19,2.23,3.73,5.43,1.38,6.87,5.38,2.08,0.22,3.66
September,,,,,,,,,,1.55,0.49,2.47,2.47,7.47,2.16,4.31,1.7,2.69,1.19,2.93,0.95,3.45,1.68,3.83,1.27,1.84,2.96,2.01,0.83,1.4
October,,,,,,,,,,3,3.41,2.29,2.37,3.68,3.18,1.07,0.99,1.64,2.19,1,0.67,2.77,1.5,5.72,1.51,1.75,1.96,1.18,1.14,4.95
November,,,,,,,,,,2.97,2.72,0.56,2.06,6.39,1.19,4.65,2.81,1.39,3.33,5.82,6,3.5,1.11,3.5,1.51,0.66,0.98,0.88,3.52,1.75
December,,,,,,,,,,2.65,0.28,2.11,0.94,1.97,1.58,1.96,2.45,1.77,2.48,1.84,1.91,3.32,1.02,2.44,3.39,1.63,1.37,3.39,2.08,1.44
Total,21.23,21.79,25.51,28.31,25.01,27.56,29.92,22.64,32.12,25.51,27.22,19.74,25.03,34.59,29.53,31.87,26.4,29.01,19.23,31.53,31.94,24.72,20.11,36.17,22.23,26.64,24.82,26.63,17.15,26.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Totals 1931, 1934, 1937 totals not originally transcribed so added manually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
