"THROCKLEY FILTERS",,,,,,,,,,,,
Grid ref,NZ153668,Long,-1.762386,Lat,54.995549,,,,,,,
Station no,3563/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.65,1.55,0.73,2.32,2.10,2.97,1.43,1.38,1.95,3.93,,
February,2.13,0.55,1.15,1.86,1.84,2.32,1.80,2.64,0.47,1.33,,
March,4.11,1.41,0.14,0.96,1.67,1.03,1.49,2.74,0.59,1.42,,
April,1.77,1.12,2.37,0.60,0.99,1.09,0.67,1.58,1.92,0.78,,
May,3.35,1.60,2.21,4.81,2.03,0.51,1.88,2.52,0.34,2.17,,
June,1.71,2.09,2.48,2.22,2.65,2.83,2.11,2.66,2.49,0.29,,
July,2.50,1.13,1.99,2.48,1.89,3.14,2.79,3.57,1.60,3.82,,
August,5.19,2.23,3.73,5.43,1.38,6.87,5.38,2.08,0.22,3.66,,
September,0.95,3.45,1.68,3.83,1.27,1.84,2.96,2.01,0.83,1.40,,
October,0.67,2.77,1.50,5.72,1.51,1.75,1.96,1.18,1.14,4.95,,
November,6.00,3.50,1.11,3.50,1.51,0.66,0.98,0.88,3.52,1.75,,
December,1.91,3.32,1.02,2.44,3.39,1.63,1.37,3.39,2.08,1.44,,
Total,31.94,24.72,20.11,36.17,22.23,26.64,24.82,26.63,17.15,26.94,,
Calc annual,31.94,24.72,20.11,36.17,22.23,26.64,24.82,26.63,17.15,26.94,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
