"CONTIN KINNAHAIRD",,,,,,,,,,,,
Grid ref,NH470552,Long,-4.559145,Lat,57.560909,,,,,,,
Station no,RR4346,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.51,2.26,2.26,6.23,,,3.98,,,,,
February,0.25,1.34,1.18,4.66,,,2.24,,,,,
March,2.28,3.11,3.11,4.71,,,1.98,,,,,
April,2.89,1.98,1.18,0.86,,,2.28,,,,,
May,1.12,1.39,2.41,0.64,,,3.29,,,,,
June,2.72,2.42,1.39,0.58,,,0.70,,,,,
July,4.23,2.95,2.57,0.33,,,2.88,,,,,
August,2.81,1.73,1.06,3.53,,,3.80,,,,,
September,4.67,0.12,2.02,7.08,,,1.58,,,,,
October,3.52,3.34,1.72,5.36,,,2.20,,,,,
November,3.81,3.81,0.51,0.33,,,4.39,,,,,
December,5.38,4.37,5.32,0.15,,,0.83,,,,,
Total,39.19,28.82,24.73,34.46,,,30.15,,,,,
Calc annual,39.19,28.82,24.73,34.46,0.00,0.00,30.15,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,0.00,NaN,NaN,NaN,,
