BRANDON-WW,,,,,,,,,,
Grid ref,TL793862,Long,0.63671,Lat,52.444342,Elevation,82,ft,,
Station no,1397/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.14,1.08,2.25,1.86,3.28,1.8,1.87,2.95,2.92
February,,1.02,1.35,2.37,2.29,1.26,2.53,3.42,0.19,1.37
March,3.38,3,0.42,2.68,1.49,0.64,2.45,0.79,1.77,1.29
April,3.29,1.03,2.03,0.37,0.76,0.93,0.36,1.17,2.16,0.79
May,2.13,1.45,2.03,2.48,2.58,0.84,1.29,2.7,1.01,0.46
June,1,1.14,3.23,1.99,3.42,2.38,2.59,3.63,1.19,3.46
July,1.18,1.11,2.97,3.37,0.14,1.97,3.88,2.97,2.99,3.27
August,3.15,5.98,2.16,5.12,1.67,3.63,2.34,3.26,1.3,2.11
September,2.55,2.74,1.23,1.86,2.18,1.6,4.02,2.89,0.02,3.51
October,0.76,2.6,2.07,2.45,3.04,1.39,1.34,1.82,1.97,4.03
November,3.16,4.3,1.25,3.98,1.06,1.04,1.78,1.34,1.46,3.5
December,1.63,1.97,1.01,2.26,1.68,2.33,2.22,3.14,3.35,2.75
Total,,28.48,20.83,31.18,22.17,21.29,26.6,29,20.36,29.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1951 Jan Feb estimated,,,,,,,,,,
