CHELMSFORD-CHIGNALL (CHIGNALL-HALL),,,,,,,,,,
Grid ref,TL662102,Long,0.40710196,Lat,51.765812,Elevation,152,ft,,
Station no,RR8724,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.09,1.07,1.07,2.76,
February,,,,,,2.54,3.27,0.68,0.57,
March,,,,,,1.42,3.58,1.44,0.79,
April,,,,,,0.64,0.8,1.84,2.57,
May,,,,,,2.01,1.36,2.34,1.65,
June,,,,,,0.47,2.06,0.87,0.75,
July,,,,,,3.97,0.86,3.14,4.24,
August,,,,,,1.57,4.09,3.89,1.29,
September,,,,,,1.9,1.07,0.87,3.68,
October,,,,,,1.63,3.36,3.36,1.22,
November,,,,,,2.56,4.39,1.65,1.76,
December,,,,,,4.43,2.81,1.08,1.94,
Total,,,,,,26.23,28.72,22.23,23.22,
