BLUNTISHAM-BROWNSHILL-STAUNCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL370728,Long,0.009333,Lat,52.336183,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1214/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.81,2.38,1.99,2.31,1.3,1.88,2.05,3.48,1.72,1.58,1.11,,,0.98,1,2.82,1.36,0.75,1.07,1.18,2.93,1,2.23,2.27,2.02
February,,,,,,1.99,2.01,0.32,0.22,1.17,1.96,0.28,0.63,0.88,1.28,1.18,,,0.64,2.61,2.07,0.64,1.4,1.86,1.36,1.11,1.85,2.15,0.23,1.25
March,,,,,,0.7,2.27,0.23,1.37,1.86,3.56,1.29,0.79,0.46,0.42,1.1,,,0.7,0.83,2.64,2.61,0.34,2.43,1.61,0.37,1.64,1.09,2.74,1.34
April,,,,,,1.36,2.22,0.09,1.55,1.36,0.82,0.97,0.74,1.64,0.65,1.13,,,1.2,0.62,2.58,1.17,1.5,0.3,0.46,1.31,0.15,0.9,1.29,0.27
May,,,,,,0.73,2.94,1.65,0.73,1.28,2.01,2.74,1.62,1,2.69,2.32,,,2.35,2.88,2.7,1.08,1.94,3.71,2.63,0.65,1.19,2.62,0.58,0.95
June,,,,,,4.09,1.9,0.5,1.94,1.02,2.52,0.55,2.09,1.14,1.89,2.92,,,0.63,1.45,1.38,0.93,2.28,2.04,3.11,2.26,1.55,4.7,1.03,2.62
July,,,,,,5.24,1.92,1.07,1.63,2.99,2.04,2.61,0.58,1.81,1.78,2.16,1.63,,1.99,4.42,1.04,0.63,2.15,2.72,0.61,4.5,2.8,3.07,2.65,3.61
August,,,,,,0.55,1.06,1.21,2.97,0.19,3.91,1.52,1.26,2.73,1.77,3.34,0.23,2.89,0.95,1.87,3.06,3.42,2.31,4.42,1.18,3.31,3.31,3.81,0.47,2.89
September,,,,,,2.03,1.52,2.77,1.12,0.45,1.04,1.21,1.46,2.94,2.12,1.77,,1.96,0.64,2.36,2.35,2.1,0.88,1.56,1.62,1.2,3.65,2.93,0.01,3.55
October,,,,,,1.28,1.9,1.6,3.54,0.64,1.9,2.62,1.27,2.74,2.64,1.4,,2.38,3.67,0.24,0.96,1.83,2.22,1.93,2.41,1.01,1.38,2.04,1.66,5.28
November,,,,,,1.41,1.41,1,2.57,4.52,2.68,2.05,1.41,3.52,0.27,4.4,,1.3,2.12,3.4,2.86,2.36,1.3,3.4,1.01,1.04,1.44,1.57,1.35,2.92
December,,,,,,1.32,1.7,2.57,1.02,1.42,0.74,1.68,0.85,1.04,2.06,2.18,,1.36,1.8,1.16,1.4,1.66,0.63,2.14,1.39,1.82,1.88,2.34,2.82,2.81
Total,,,,,,23.51,23.23,15,20.97,18.2,25.06,19.57,16.18,21.62,19.15,25.01,,,17.67,22.84,25.86,19.79,17.7,27.58,18.57,21.51,21.84,29.45,17.1,29.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan-Jun no record as gauge destroyed by flood protection work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
