BRYMBO-PENTRE-BROUGHTON-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ301534,Long,-3.0447711,Lat,53.073239,Elevation,680,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.4,,,3.24,3.58,3.79,6.55,2.33,1.56,,2.74,2.74,3.97,1.47,3.84,3.51,2.37,1.86,1.56,,,,,,
February,,,,,,,2.99,,,,2.4,0.26,2.93,5.9,0.55,,2.18,1.62,2.54,1.04,0.35,,0.04,2.52,0.16,,,,,,
March,,,,,,,,,,,4.43,1.58,2.02,1.41,0.99,,0.63,3.55,2.22,0.28,2.8,0.52,1.86,2.05,2.7,,,,,,
April,,,,,,,2.31,,,1.81,6.16,1.24,2.79,2.29,2.49,,1.96,2.25,1.38,0.87,2.21,,3.2,0.7,2.92,,,,,,
May,,,,,,,3.42,,,1.13,4.83,1.29,0.4,3.32,4.28,,2.29,1.47,1.71,1.53,1.54,3.43,3.78,1.31,1.34,,,,,,
June,,,,,,,,,,1.32,3.85,0.24,1.27,0.34,1.99,,1.62,3.99,3.68,2.4,0.53,4.56,0.79,1.6,0.85,,,,,,
July,,,,,,,,,,2.02,5.74,1.38,3.68,1.99,5.32,,3.33,2.56,1.04,1.63,3.63,1.74,5.47,1.5,1.34,,,,,,
August,,,,,,,,,,4.61,1.31,4.35,2.4,2.76,3.59,,0.61,5.79,2.45,2.36,2.12,6.88,1.88,,2.75,,,,,,
September,,,,,,,,,,1.43,2.54,0.84,2.87,2.88,3.17,,2.94,2.55,2.22,2.06,3.87,4.35,2.36,0.74,1.12,,,,,,
October,,,,,,,,,,4.04,3.34,2.28,0.53,4.37,3.24,,2.63,4.11,4.34,4.02,4.76,0.76,4.98,3.64,2.94,,,,,,
November,,,,,,6.15,,,,1.91,0.98,2.95,1.6,2.86,1.99,,5.12,5.45,4.26,5.84,3.87,5.06,1.9,1.38,1.64,,,,,,
December,,,,,,,,,,5.45,2.63,2.32,3.79,3.45,3.51,,0.71,1.79,2.56,6.31,4.77,1.32,1.47,0.7,5.44,,,,,,
Total,,,,,,,,,,,41.79,22.52,30.83,33.9,32.68,,26.76,37.87,32.37,29.81,34.29,,30.1,,24.76,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the school with the correct relationship to church and station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
